entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_arrdt_value;field_arrdt_format
node;imprimeur_lithographe;0;10078;10078;und;0;11;plain_text
node;imprimeur_lithographe;0;10079;10079;und;0;10;plain_text
node;imprimeur_lithographe;0;10080;10080;und;0;5;plain_text
node;imprimeur_lithographe;0;10081;10081;und;0;4;plain_text
node;imprimeur_lithographe;0;10082;10082;und;0;5;plain_text
node;imprimeur_lithographe;0;10083;10083;und;0;1;plain_text
node;imprimeur_lithographe;0;10084;10084;und;0;5;plain_text
node;imprimeur_lithographe;0;10085;10085;und;0;9;plain_text
node;imprimeur_lithographe;0;10086;10086;und;0;2;plain_text
node;imprimeur_lithographe;0;10087;10087;und;0;1;plain_text
node;imprimeur_lithographe;0;10088;10088;und;0;1;plain_text
node;imprimeur_lithographe;0;10090;10090;und;0;3;plain_text
node;imprimeur_lithographe;0;10091;10091;und;0;2;plain_text
node;imprimeur_lithographe;0;10092;10092;und;0;10;plain_text
node;imprimeur_lithographe;0;10094;10094;und;0;10;plain_text
node;imprimeur_lithographe;0;10095;10095;und;0;9;plain_text
node;imprimeur_lithographe;0;10096;10096;und;0;10;plain_text
node;imprimeur_lithographe;0;10097;10097;und;0;3;plain_text
node;imprimeur_lithographe;0;10098;10098;und;0;1;plain_text
node;imprimeur_lithographe;0;10099;10099;und;0;3;plain_text
node;imprimeur_lithographe;0;10100;10100;und;0;3;plain_text
node;imprimeur_lithographe;0;10101;10101;und;0;18;plain_text
node;imprimeur_lithographe;0;10102;10102;und;0;6;plain_text
node;imprimeur_lithographe;0;10103;10103;und;0;18;plain_text
node;imprimeur_lithographe;0;10104;10104;und;0;2;plain_text
node;imprimeur_lithographe;0;10105;10105;und;0;2;plain_text
node;imprimeur_lithographe;0;10107;10107;und;0;2;plain_text
node;imprimeur_lithographe;0;10108;10108;und;0;6;plain_text
node;imprimeur_lithographe;0;10109;10109;und;0;1;plain_text
node;imprimeur_lithographe;0;10110;10110;und;0;4;plain_text
node;imprimeur_lithographe;0;10111;10111;und;0;11;plain_text
node;imprimeur_lithographe;0;10112;10112;und;0;1;plain_text
node;imprimeur_lithographe;0;10113;10113;und;0;5;plain_text
node;imprimeur_lithographe;0;10114;10114;und;0;11;plain_text
node;imprimeur_lithographe;0;10115;10115;und;0;4;plain_text
node;imprimeur_lithographe;0;10118;10118;und;0;3;plain_text
node;imprimeur_lithographe;0;10119;10119;und;0;9;plain_text
node;imprimeur_lithographe;0;10122;10122;und;0;2;plain_text
node;imprimeur_lithographe;0;10123;10123;und;0;2;plain_text
node;imprimeur_lithographe;0;10125;10125;und;0;10;plain_text
node;imprimeur_lithographe;0;10128;10128;und;0;3;plain_text
node;imprimeur_lithographe;0;10129;10129;und;0;6;plain_text
node;imprimeur_lithographe;0;10131;10131;und;0;2;plain_text
node;imprimeur_lithographe;0;10132;10132;und;0;2;plain_text
node;imprimeur_lithographe;0;10133;10133;und;0;10;plain_text
node;imprimeur_lithographe;0;10134;10134;und;0;2;plain_text
node;imprimeur_lithographe;0;10136;10136;und;0;2;plain_text
