entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_lieu_de_naissance_value;field_lieu_de_naissance_format
node;imprimeur_lithographe;0;6904;6904;und;0;A Mazères ;plain_text
node;imprimeur_lithographe;0;6905;6905;und;0;A Paris ;plain_text
node;imprimeur_lithographe;0;6906;6906;und;0;A Carentan (Manche);plain_text
node;imprimeur_lithographe;0;6907;6907;und;0;A Lille (Nord);plain_text
node;imprimeur_lithographe;0;6910;6910;und;0;A Saint Jean du Gard (Gard);plain_text
node;imprimeur_lithographe;0;6911;6911;und;0;A Verdun;plain_text
node;imprimeur_lithographe;0;6912;6912;und;0;A Orléans ;plain_text
node;imprimeur_lithographe;0;6913;6913;und;0;A Paris  ;plain_text
node;imprimeur_lithographe;0;6916;6916;und;0;A Toulouse ;plain_text
node;imprimeur_lithographe;0;6917;6917;und;0;A Ablois ;plain_text
node;imprimeur_lithographe;0;6918;6918;und;0;A Paris ;plain_text
node;imprimeur_lithographe;0;6919;6919;und;0;A Rennes ;plain_text
node;imprimeur_lithographe;0;6920;6920;und;0; - ;plain_text
node;imprimeur_lithographe;0;6921;6921;und;0;A Angoulême ;plain_text
node;imprimeur_lithographe;0;6922;6922;und;0;'A Saint Cyr l''Ecole (Seine et Oise)';plain_text
node;imprimeur_lithographe;0;6923;6923;und;0;A Paris ;plain_text
node;imprimeur_lithographe;0;6924;6924;und;0;A Authieux (Eure);plain_text
node;imprimeur_lithographe;0;6927;6927;und;0;A Beauvais;plain_text
node;imprimeur_lithographe;0;6933;6933;und;0;A Auch (Gers);plain_text
node;imprimeur_lithographe;0;6934;6934;und;0;A Paris ;plain_text
node;imprimeur_lithographe;0;6936;6936;und;0;A Longwy;plain_text
node;imprimeur_lithographe;0;6937;6937;und;0;A Paris;plain_text
node;imprimeur_lithographe;0;6939;6939;und;0;Auxerre;plain_text
node;imprimeur_lithographe;0;6940;6940;und;0;Puancé (Maine et Loire);plain_text
node;imprimeur_lithographe;0;6941;6941;und;0;Neufchâteau;plain_text
node;imprimeur_lithographe;0;6942;6942;und;0;Lyon;plain_text
node;imprimeur_lithographe;0;7845;7845;und;0;A Mazères ;plain_text
node;imprimeur_lithographe;0;7857;7857;und;0;A Mazères ;plain_text
node;imprimeur_lithographe;0;7858;7858;und;0;A Paris ;plain_text
node;imprimeur_lithographe;0;7859;7859;und;0;A Carentan (Manche);plain_text
node;imprimeur_lithographe;0;7860;7860;und;0;A Lille (Nord);plain_text
node;imprimeur_lithographe;0;7863;7863;und;0;A Saint Jean du Gard (Gard);plain_text
node;imprimeur_lithographe;0;7864;7864;und;0;A Verdun;plain_text
node;imprimeur_lithographe;0;7865;7865;und;0;A Orléans ;plain_text
node;imprimeur_lithographe;0;7866;7866;und;0;A Paris  ;plain_text
node;imprimeur_lithographe;0;7869;7869;und;0;A Toulouse ;plain_text
node;imprimeur_lithographe;0;7870;7870;und;0;A Ablois ;plain_text
node;imprimeur_lithographe;0;7871;7871;und;0;A Paris ;plain_text
node;imprimeur_lithographe;0;7872;7872;und;0;A Rennes ;plain_text
node;imprimeur_lithographe;0;7873;7873;und;0; - ;plain_text
node;imprimeur_lithographe;0;7874;7874;und;0;A Angoulême ;plain_text
node;imprimeur_lithographe;0;7875;7875;und;0;'A Saint Cyr l''Ecole (Seine et Oise)';plain_text
node;imprimeur_lithographe;0;7876;7876;und;0;A Paris ;plain_text
node;imprimeur_lithographe;0;7877;7877;und;0;A Authieux (Eure);plain_text
node;imprimeur_lithographe;0;7880;7880;und;0;A Beauvais;plain_text
node;imprimeur_lithographe;0;7886;7886;und;0;A Auch (Gers);plain_text
node;imprimeur_lithographe;0;7887;7887;und;0;A Paris ;plain_text
node;imprimeur_lithographe;0;7889;7889;und;0;A Longwy;plain_text
node;imprimeur_lithographe;0;7890;7890;und;0;A Paris;plain_text
node;imprimeur_lithographe;0;7892;7892;und;0;Auxerre;plain_text
node;imprimeur_lithographe;0;7893;7893;und;0;Puancé (Maine et Loire);plain_text
node;imprimeur_lithographe;0;7894;7894;und;0;Neufchâteau;plain_text
node;imprimeur_lithographe;0;7895;7895;und;0;Lyon;plain_text
node;imprimeur_lithographe;0;7898;7898;und;0;Bayonne;plain_text
node;imprimeur_lithographe;0;7900;7900;und;0;Caudebec;plain_text
node;imprimeur_lithographe;0;7901;7901;und;0;'Portoferrajo (Ile d''Elbe)';plain_text
node;imprimeur_lithographe;0;7902;7902;und;0;Strasbourg;plain_text
node;imprimeur_lithographe;0;7903;7903;und;0;Wittersbourg (Moselle);plain_text
node;imprimeur_lithographe;0;7904;7904;und;0;Wissemburg (Bas-Rhin);plain_text
node;imprimeur_lithographe;0;7905;7905;und;0;Biebanir (Mayence);plain_text
node;imprimeur_lithographe;0;7907;7907;und;0;Strasbourg;plain_text
node;imprimeur_lithographe;0;7908;7908;und;0;Beauvais;plain_text
node;imprimeur_lithographe;0;7909;7909;und;0;Montflanquin (Lot et Garonne);plain_text
node;imprimeur_lithographe;0;7911;7911;und;0;Le Havre;plain_text
node;imprimeur_lithographe;0;7912;7912;und;0;Compiègne;plain_text
node;imprimeur_lithographe;0;7913;7913;und;0;Trebons (Hautes Pyrénées);plain_text
node;imprimeur_lithographe;0;7914;7914;und;0;Clermont-Ferrand ;plain_text
node;imprimeur_lithographe;0;7915;7915;und;0;Bayonne;plain_text
node;imprimeur_lithographe;0;7917;7917;und;0;Guéret (Creuse);plain_text
node;imprimeur_lithographe;0;7918;7918;und;0;Riom;plain_text
node;imprimeur_lithographe;0;7921;7921;und;0;'Savigné l''Evêque';plain_text
node;imprimeur_lithographe;0;10078;10078;und;0;A Mazères ;plain_text
node;imprimeur_lithographe;0;10079;10079;und;0;A Paris ;plain_text
node;imprimeur_lithographe;0;10080;10080;und;0;A Carentan (Manche);plain_text
node;imprimeur_lithographe;0;10081;10081;und;0;A Lille (Nord);plain_text
node;imprimeur_lithographe;0;10084;10084;und;0;A Saint Jean du Gard (Gard);plain_text
node;imprimeur_lithographe;0;10085;10085;und;0;A Verdun;plain_text
node;imprimeur_lithographe;0;10086;10086;und;0;A Orléans ;plain_text
node;imprimeur_lithographe;0;10087;10087;und;0;A Paris  ;plain_text
node;imprimeur_lithographe;0;10090;10090;und;0;A Toulouse ;plain_text
node;imprimeur_lithographe;0;10091;10091;und;0;A Ablois ;plain_text
node;imprimeur_lithographe;0;10092;10092;und;0;A Paris ;plain_text
node;imprimeur_lithographe;0;10093;10093;und;0;A Rennes ;plain_text
node;imprimeur_lithographe;0;10094;10094;und;0; - ;plain_text
node;imprimeur_lithographe;0;10095;10095;und;0;A Angoulême ;plain_text
node;imprimeur_lithographe;0;10096;10096;und;0;A Saint Cyr l'Ecole (Seine et Oise);plain_text
node;imprimeur_lithographe;0;10097;10097;und;0;A Paris ;plain_text
node;imprimeur_lithographe;0;10098;10098;und;0;A Authieux (Eure);plain_text
node;imprimeur_lithographe;0;10101;10101;und;0;A Beauvais;plain_text
node;imprimeur_lithographe;0;10107;10107;und;0;A Auch (Gers);plain_text
node;imprimeur_lithographe;0;10108;10108;und;0;A Paris ;plain_text
node;imprimeur_lithographe;0;10110;10110;und;0;A Longwy;plain_text
node;imprimeur_lithographe;0;10111;10111;und;0;A Paris;plain_text
node;imprimeur_lithographe;0;10113;10113;und;0;Auxerre;plain_text
node;imprimeur_lithographe;0;10114;10114;und;0;Puancé (Maine et Loire);plain_text
node;imprimeur_lithographe;0;10115;10115;und;0;Neufchâteau;plain_text
node;imprimeur_lithographe;0;10116;10116;und;0;Lyon;plain_text
node;imprimeur_lithographe;0;10119;10119;und;0;Bayonne;plain_text
node;imprimeur_lithographe;0;10121;10121;und;0;Caudebec;plain_text
node;imprimeur_lithographe;0;10122;10122;und;0;Portoferrajo (Ile d'Elbe);plain_text
node;imprimeur_lithographe;0;10123;10123;und;0;Strasbourg;plain_text
node;imprimeur_lithographe;0;10124;10124;und;0;Wittersbourg (Moselle);plain_text
node;imprimeur_lithographe;0;10125;10125;und;0;Wissemburg (Bas-Rhin);plain_text
node;imprimeur_lithographe;0;10126;10126;und;0;Biebanir (Mayence);plain_text
node;imprimeur_lithographe;0;10128;10128;und;0;Strasbourg;plain_text
node;imprimeur_lithographe;0;10129;10129;und;0;Beauvais;plain_text
node;imprimeur_lithographe;0;10130;10130;und;0;Montflanquin (Lot et Garonne);plain_text
node;imprimeur_lithographe;0;10132;10132;und;0;Le Havre;plain_text
node;imprimeur_lithographe;0;10133;10133;und;0;Compiègne;plain_text
node;imprimeur_lithographe;0;10134;10134;und;0;Trebons (Hautes Pyrénées);plain_text
node;imprimeur_lithographe;0;10135;10135;und;0;Clermont-Ferrand ;plain_text
node;imprimeur_lithographe;0;10136;10136;und;0;Bayonne;plain_text
node;imprimeur_lithographe;0;10138;10138;und;0;Guéret (Creuse);plain_text
node;imprimeur_lithographe;0;10139;10139;und;0;Riom;plain_text
node;imprimeur_lithographe;0;10142;10142;und;0;Savigné l'Evêque;plain_text
node;imprimeur_lithographe;0;10143;10143;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10146;10146;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10147;10147;und;0;Châlons sur Saône;plain_text
node;imprimeur_lithographe;0;10148;10148;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10149;10149;und;0;Poix (Aisne);plain_text
node;imprimeur_lithographe;0;10150;10150;und;0;Bieville (Charente);plain_text
node;imprimeur_lithographe;0;10151;10151;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10153;10153;und;0;Poitiers;plain_text
node;imprimeur_lithographe;0;10155;10155;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10157;10157;und;0;Strasbourg;plain_text
node;imprimeur_lithographe;0;10158;10158;und;0;Neuville;plain_text
node;imprimeur_lithographe;0;10159;10159;und;0;Paris ;plain_text
node;imprimeur_lithographe;0;10162;10162;und;0;Carisez;plain_text
node;imprimeur_lithographe;0;10164;10164;und;0;St Germain en Laye;plain_text
node;imprimeur_lithographe;0;10165;10165;und;0;Soignolles;plain_text
node;imprimeur_lithographe;0;10166;10166;und;0;Chaumes;plain_text
node;imprimeur_lithographe;0;10167;10167;und;0;Bellières (Jura);plain_text
node;imprimeur_lithographe;0;10168;10168;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10169;10169;und;0;Bréseux;plain_text
node;imprimeur_lithographe;0;10170;10170;und;0;Pannier (Ariège);plain_text
node;imprimeur_lithographe;0;10171;10171;und;0;Caen;plain_text
node;imprimeur_lithographe;0;10172;10172;und;0;La Ferté-sous-Jouarre;plain_text
node;imprimeur_lithographe;0;10173;10173;und;0;Bonneville Les Touques (Calvados);plain_text
node;imprimeur_lithographe;0;10174;10174;und;0;Aube;plain_text
node;imprimeur_lithographe;0;10175;10175;und;0;Essonne;plain_text
node;imprimeur_lithographe;0;10176;10176;und;0;Hennebont (Morbihan);plain_text
node;imprimeur_lithographe;0;10177;10177;und;0;Nuits (cöte d'Or);plain_text
node;imprimeur_lithographe;0;10178;10178;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10180;10180;und;0;Metz;plain_text
node;imprimeur_lithographe;0;10181;10181;und;0;Fontainebleau;plain_text
node;imprimeur_lithographe;0;10183;10183;und;0;St Maur d'Egrenne - Orne;plain_text
node;imprimeur_lithographe;0;10185;10185;und;0;Pontlieu (Sarthe);plain_text
node;imprimeur_lithographe;0;10186;10186;und;0;Emmerins (Nord);plain_text
node;imprimeur_lithographe;0;10187;10187;und;0;Lille;plain_text
