entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_parcours_professionnel_for_value;field_parcours_professionnel_for_format
node;imprimeur_lithographe;0;6906;6906;und;0;'Il a d''abord été horloger à Carentan';plain_text
node;imprimeur_lithographe;0;6907;6907;und;0;'Il a d''abord été ouvrier imprimeur lithographe chez Simon fils';plain_text
node;imprimeur_lithographe;0;6908;6908;und;0;Il est écrivain autographe de formation.;plain_text
node;imprimeur_lithographe;0;6910;6910;und;0;'Quand il demande le brevet, cela fait déjà 15 ans qu''il exerce dans cette branche de métier. Il a exercé dans plusieurs villes, Lyon, Marseille, Lille, Cambrai, Nîmes';plain_text
node;imprimeur_lithographe;0;6912;6912;und;0;Il est ouvrier lithographe de formation.;plain_text
node;imprimeur_lithographe;0;6913;6913;und;0;Il est dessinateur lithographe de formation.;plain_text
node;imprimeur_lithographe;0;6916;6916;und;0;Il est dessinateur sur pierre de formation.;plain_text
node;imprimeur_lithographe;0;6917;6917;und;0;'Au départ, il est imprimeur en taille douce, puis il demande le brevet d''imprimeur lithographe. Il a travaillé comme imprimeur lithographe chez M. Gilbert.';plain_text
node;imprimeur_lithographe;0;6918;6918;und;0;Il est ouvrier lithographe.;plain_text
node;imprimeur_lithographe;0;6919;6919;und;0;Il est compositeur typographe au journal La Gazette de France.;plain_text
node;imprimeur_lithographe;0;6921;6921;und;0;'Il est tout d''abord papetier.';plain_text
node;imprimeur_lithographe;0;6923;6923;und;0;'Dirige l''atelier des ouvriers ';plain_text
node;imprimeur_lithographe;0;6924;6924;und;0;Il a passé quinze ans à travailler dans les affaires;plain_text
node;imprimeur_lithographe;0;6925;6925;und;0;'Il était d''abord fabricant de papiers peints.';plain_text
node;imprimeur_lithographe;0;6926;6926;und;0;Il est fabricant de papiers fantaisies à St Denis.;plain_text
node;imprimeur_lithographe;0;6927;6927;und;0;Il est bachelier es Lettres puis exerce comme notaire.;plain_text
node;imprimeur_lithographe;0;6928;6928;und;0;'Il est limonadier, entrepreneur d''un bal mal famé.';plain_text
node;imprimeur_lithographe;0;6930;6930;und;0;'Il est tout d''abord typographe.';plain_text
node;imprimeur_lithographe;0;6933;6933;und;0;Il est commis chez le lithographe Gaugain.;plain_text
node;imprimeur_lithographe;0;6934;6934;und;0;Il est de formation écrivain lithographe.  / Il a été breveté pour Paris en 1831, puis pour Marseille en 1836. / Il est de formation écrivain lithographe.  / Il a été breveté pour Paris en 1831, puis pour Marseille en 1836.;plain_text
node;imprimeur_lithographe;0;6936;6936;und;0;'Il est tout d''abord chef d''atelier chez Guerrier et il en acquièrt le fonds / A acquis le fonds';plain_text
node;imprimeur_lithographe;0;6937;6937;und;0;Il est marchand papetier.;plain_text
node;imprimeur_lithographe;0;6941;6941;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;7859;7859;und;0;'Il a d''abord été horloger à Carentan';plain_text
node;imprimeur_lithographe;0;7860;7860;und;0;'Il a d''abord été ouvrier imprimeur lithographe chez Simon fils';plain_text
node;imprimeur_lithographe;0;7861;7861;und;0;Il est écrivain autographe de formation.;plain_text
node;imprimeur_lithographe;0;7863;7863;und;0;'Quand il demande le brevet, cela fait déjà 15 ans qu''il exerce dans cette branche de métier. Il a exercé dans plusieurs villes, Lyon, Marseille, Lille, Cambrai, Nîmes';plain_text
node;imprimeur_lithographe;0;7865;7865;und;0;Il est ouvrier lithographe de formation.;plain_text
node;imprimeur_lithographe;0;7866;7866;und;0;Il est dessinateur lithographe de formation.;plain_text
node;imprimeur_lithographe;0;7869;7869;und;0;Il est dessinateur sur pierre de formation.;plain_text
node;imprimeur_lithographe;0;7870;7870;und;0;'Au départ, il est imprimeur en taille douce, puis il demande le brevet d''imprimeur lithographe. Il a travaillé comme imprimeur lithographe chez M. Gilbert.';plain_text
node;imprimeur_lithographe;0;7871;7871;und;0;Il est ouvrier lithographe.;plain_text
node;imprimeur_lithographe;0;7872;7872;und;0;Il est compositeur typographe au journal La Gazette de France.;plain_text
node;imprimeur_lithographe;0;7874;7874;und;0;'Il est tout d''abord papetier.';plain_text
node;imprimeur_lithographe;0;7876;7876;und;0;'Dirige l''atelier des ouvriers ';plain_text
node;imprimeur_lithographe;0;7877;7877;und;0;Il a passé quinze ans à travailler dans les affaires;plain_text
node;imprimeur_lithographe;0;7878;7878;und;0;'Il était d''abord fabricant de papiers peints.';plain_text
node;imprimeur_lithographe;0;7879;7879;und;0;Il est fabricant de papiers fantaisies à St Denis.;plain_text
node;imprimeur_lithographe;0;7880;7880;und;0;Il est bachelier es Lettres puis exerce comme notaire.;plain_text
node;imprimeur_lithographe;0;7881;7881;und;0;'Il est limonadier, entrepreneur d''un bal mal famé.';plain_text
node;imprimeur_lithographe;0;7883;7883;und;0;'Il est tout d''abord typographe.';plain_text
node;imprimeur_lithographe;0;7886;7886;und;0;Il est commis chez le lithographe Gaugain.;plain_text
node;imprimeur_lithographe;0;7887;7887;und;0;Il est de formation écrivain lithographe.  / Il a été breveté pour Paris en 1831, puis pour Marseille en 1836. / Il est de formation écrivain lithographe.  / Il a été breveté pour Paris en 1831, puis pour Marseille en 1836.;plain_text
node;imprimeur_lithographe;0;7889;7889;und;0;'Il est tout d''abord chef d''atelier chez Guerrier et il en acquièrt le fonds / A acquis le fonds';plain_text
node;imprimeur_lithographe;0;7890;7890;und;0;Il est marchand papetier.;plain_text
node;imprimeur_lithographe;0;7894;7894;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;7897;7897;und;0;ouvrier typographe;plain_text
node;imprimeur_lithographe;0;7898;7898;und;0;Garde national;plain_text
node;imprimeur_lithographe;0;7899;7899;und;0;'Fabricant de jouets d''enfants';plain_text
node;imprimeur_lithographe;0;7901;7901;und;0;'Avant d''être imprimeur lithographe, il était qualifié d''artiste dessinateur et marchand de pierre lithographique. ';plain_text
node;imprimeur_lithographe;0;7902;7902;und;0;'Elle exerce aussi la profession de graveur de musique. Elle fait le commerce d''ouvrages qui se rapportent à cet art et vend en gros des pierres lithographiques';plain_text
node;imprimeur_lithographe;0;7904;7904;und;0;peintre sur porcelaine;plain_text
node;imprimeur_lithographe;0;7908;7908;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;7909;7909;und;0;Ecrivain en autographie / Chef comptable;plain_text
node;imprimeur_lithographe;0;7911;7911;und;0;Taille-doucier;plain_text
node;imprimeur_lithographe;0;7912;7912;und;0;'Gérant d''une revue';plain_text
node;imprimeur_lithographe;0;7913;7913;und;0;Papetier;plain_text
node;imprimeur_lithographe;0;7914;7914;und;0;ouvrier lithographe;plain_text
