entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_bibliographie_sources_value;field_bibliographie_sources_format
node;imprimeur_lithographe;0;10078;10078;und;0;BnF, Dépt des Estampes, SNR Abadie / AN F18 1726;plain_text
node;imprimeur_lithographe;0;10079;10079;und;0;AN F18 1726;plain_text
node;imprimeur_lithographe;0;10080;10080;und;0;Archives de Paris D10 U3 37 n°3452 / AN F18 1726;plain_text
node;imprimeur_lithographe;0;10081;10081;und;0;AN F18 1726;plain_text
node;imprimeur_lithographe;0;10082;10082;und;0;AN F18 1726;plain_text
node;imprimeur_lithographe;0;10083;10083;und;0;AN F18 1726;plain_text
node;imprimeur_lithographe;0;10084;10084;und;0;AN F18 1726;plain_text
node;imprimeur_lithographe;0;10085;10085;und;0;Almanach du commerce  1839 (à revoir) / AN F18 1726;plain_text
node;imprimeur_lithographe;0;10086;10086;und;0;AN F18 1726;plain_text
node;imprimeur_lithographe;0;10087;10087;und;0;BnF, Dépt des Estampes SNR Alexandre / AN F18 1726;plain_text
node;imprimeur_lithographe;0;10088;10088;und;0;AN F18 1726;plain_text
node;imprimeur_lithographe;0;10089;10089;und;0;AN F18 1835;plain_text
node;imprimeur_lithographe;0;10090;10090;und;0;BnF, Dépt des Estampes SNR Allard, L (1855-1859) / AN F18 1726;plain_text
node;imprimeur_lithographe;0;10091;10091;und;0;Archives de Paris / D10 U3 15 n° 9028 / AN F18 1726;plain_text
node;imprimeur_lithographe;0;10092;10092;und;0;Chauvet, P. p.154, 1956 / Archives de la Préfecture de Police / A A/424, pièce 119 / AN F18 1726;plain_text
node;imprimeur_lithographe;0;10093;10093;und;0;AN F18 1726;plain_text
node;imprimeur_lithographe;0;10094;10094;und;0;Sagne, Jean. Toulouse-Lautrec, 1988 p. 243 etp. 245 / Une vie de Bohême, 1989, p. 256 lettre 50 note 2 / AN F18 1727 / Sagne, Jean. Toulouse-Lautrec, 1988 p. 243 etp. 245 / Une vie de Bohême, 1989, p. 256 lettre 50 note 2 / AN F18 1727;plain_text
node;imprimeur_lithographe;0;10095;10095;und;0;AN F 18 1727;plain_text
node;imprimeur_lithographe;0;10096;10096;und;0;BnF, dépt des Estampes SNR André, Eugène / AN F18 1727BnF, dépt des Estampes SNR André, Eugène / AN F18 1727;plain_text
node;imprimeur_lithographe;0;10097;10097;und;0;AN F 18 1727;plain_text
node;imprimeur_lithographe;0;10098;10098;und;0;AN F 18 1727;plain_text
node;imprimeur_lithographe;0;10099;10099;und;0;AN F 18 1727;plain_text
node;imprimeur_lithographe;0;10100;10100;und;0;AN F 18 1727;plain_text
node;imprimeur_lithographe;0;10101;10101;und;0;AN F 18 1727;plain_text
node;imprimeur_lithographe;0;10102;10102;und;0;AN F 18 1727 / BnF, Département des Estampes Antheaume, SNRAN F 18 1727 / BnF, Département des Estampes Antheaume, SNR;plain_text
node;imprimeur_lithographe;0;10103;10103;und;0;AN F 18 1727;plain_text
node;imprimeur_lithographe;0;10104;10104;und;0;AN F 18 1727 / BnF, Dépt des Estampes Appert (A), SNR / Bibliographie de la France, XXXIIIe année, 1844, n° 15, p. 176AN F 18 1727 / BnF, Dépt des Estampes Appert (A), SNR / Bibliographie de la France, XXXIIIe année, 1844, n° 15, p. 176;plain_text
node;imprimeur_lithographe;0;10105;10105;und;0;AN F 18 1727;plain_text
node;imprimeur_lithographe;0;10106;10106;und;0;BnF, Dépt des Est, SNR Arbieu / AN F18 1727BnF, Dépt des Est, SNR Arbieu / AN F18 1727;plain_text
node;imprimeur_lithographe;0;10107;10107;und;0;AN F 18 1727;plain_text
node;imprimeur_lithographe;0;10108;10108;und;0;AN F 18 1727;plain_text
node;imprimeur_lithographe;0;10109;10109;und;0;BnF, Dépt des Est, SNR Arnaud, J / AN F18 1727;plain_text
node;imprimeur_lithographe;0;10110;10110;und;0;AN F 18 1727;plain_text
node;imprimeur_lithographe;0;10111;10111;und;0;AN F 18 1727;plain_text
node;imprimeur_lithographe;0;10113;10113;und;0;AN F18 1781;plain_text
node;imprimeur_lithographe;0;10114;10114;und;0;AN F18 1782;plain_text
node;imprimeur_lithographe;0;10115;10115;und;0;AN F18 1782;plain_text
node;imprimeur_lithographe;0;10116;10116;und;0;AN F18 1782;plain_text
node;imprimeur_lithographe;0;10117;10117;und;0;AN F18 1782;plain_text
node;imprimeur_lithographe;0;10118;10118;und;0;AN F18 1782;plain_text
node;imprimeur_lithographe;0;10119;10119;und;0;AN F18 1782;plain_text
node;imprimeur_lithographe;0;10120;10120;und;0;AN F18 1782;plain_text
node;imprimeur_lithographe;0;10121;10121;und;0;AN F18 1782;plain_text
node;imprimeur_lithographe;0;10122;10122;und;0;AN F18 1783 / Le Lithographe, 2e année 1839 p.63;plain_text
node;imprimeur_lithographe;0;10123;10123;und;0;AN F18 1783;plain_text
node;imprimeur_lithographe;0;10124;10124;und;0;AN F18 1783;plain_text
node;imprimeur_lithographe;0;10125;10125;und;0;AN F18 1783;plain_text
node;imprimeur_lithographe;0;10126;10126;und;0;AN F18* I 126;plain_text
node;imprimeur_lithographe;0;10127;10127;und;0;AN F18 1783;plain_text
node;imprimeur_lithographe;0;10128;10128;und;0;AN F18 1783;plain_text
node;imprimeur_lithographe;0;10129;10129;und;0;AN F18 1784;plain_text
node;imprimeur_lithographe;0;10130;10130;und;0;AN F18 1784;plain_text
node;imprimeur_lithographe;0;10131;10131;und;0;AN F18 1784;plain_text
node;imprimeur_lithographe;0;10132;10132;und;0;AN F18 1784;plain_text
node;imprimeur_lithographe;0;10133;10133;und;0;AN F18 1784;plain_text
node;imprimeur_lithographe;0;10134;10134;und;0;AN F18 1784;plain_text
node;imprimeur_lithographe;0;10135;10135;und;0;AN F18 1784 / AP D10 U3 30 n°12407 / AP D11 U3 200;plain_text
node;imprimeur_lithographe;0;10136;10136;und;0;AN F18 1784 / Almanach du commerce, 1839;plain_text
node;imprimeur_lithographe;0;10137;10137;und;0;AN F18 1784 / Almanach du commerce, 1827 / AN F 4601;plain_text
node;imprimeur_lithographe;0;10138;10138;und;0;AN F18 1784;plain_text
node;imprimeur_lithographe;0;10139;10139;und;0;AN F18 1785;plain_text
node;imprimeur_lithographe;0;10140;10140;und;0;AN F18 1785;plain_text
node;imprimeur_lithographe;0;10141;10141;und;0;AN F18 1785;plain_text
node;imprimeur_lithographe;0;10142;10142;und;0;AN F18 1785;plain_text
node;imprimeur_lithographe;0;10143;10143;und;0;AN F18 1785;plain_text
node;imprimeur_lithographe;0;10144;10144;und;0;AN F18 1785;plain_text
node;imprimeur_lithographe;0;10145;10145;und;0;AN F18 1785;plain_text
node;imprimeur_lithographe;0;10146;10146;und;0;AN F18 1785;plain_text
node;imprimeur_lithographe;0;10147;10147;und;0;AN F18 1785;plain_text
node;imprimeur_lithographe;0;10148;10148;und;0;AN F18 1785;plain_text
node;imprimeur_lithographe;0;10149;10149;und;0;AN F18 1785;plain_text
node;imprimeur_lithographe;0;10150;10150;und;0;AN F18 1785 / B. des arts graphiques A 1711, p. 218AN F18 1785 / B. des arts graphiques A 1711, p. 218AN F18 1785 / B. des arts graphiques A 1711, p. 218AN F18 1785 / B. des arts graphiques A 1711, p. 218AN F18 1785 / B. des arts graphiques A 1711, p. 218AN F18 1785 / B. des arts graphiques A 1711, p. 218AN F18 1785 / B. des arts graphiques A 1711, p. 218;plain_text
node;imprimeur_lithographe;0;10151;10151;und;0;AN F18 1785;plain_text
node;imprimeur_lithographe;0;10152;10152;und;0;AN F18 1785;plain_text
node;imprimeur_lithographe;0;10153;10153;und;0;AN F18 1785;plain_text
node;imprimeur_lithographe;0;10154;10154;und;0;AN F18 1785 / AP D10 U3 38 n°4376AN F18 1785 / AP D10 U3 38 n°4376AN F18 1785 / AP D10 U3 38 n°4376AN F18 1785 / AP D10 U3 38 n°4376AN F18 1785 / AP D10 U3 38 n°4376AN F18 1785 / AP D10 U3 38 n°4376AN F18 1785 / AP D10 U3 38 n°4376;plain_text
node;imprimeur_lithographe;0;10155;10155;und;0;AN F18 1786;plain_text
node;imprimeur_lithographe;0;10156;10156;und;0;AN F18 1786;plain_text
node;imprimeur_lithographe;0;10157;10157;und;0;AN F18 1786;plain_text
node;imprimeur_lithographe;0;10158;10158;und;0;AN F18 1786;plain_text
node;imprimeur_lithographe;0;10159;10159;und;0;AN F18 1786;plain_text
node;imprimeur_lithographe;0;10160;10160;und;0;AN F18* I 120 / AN F18* I 122 / AN F18* I 121AN F18* I 120 / AN F18* I 122 / AN F18* I 121AN F18* I 120 / AN F18* I 122 / AN F18* I 121AN F18* I 120 / AN F18* I 122 / AN F18* I 121AN F18* I 120 / AN F18* I 122 / AN F18* I 121AN F18* I 120 / AN F18* I 122 / AN F18* I 121;plain_text
node;imprimeur_lithographe;0;10161;10161;und;0;AN F18 1786;plain_text
node;imprimeur_lithographe;0;10162;10162;und;0;AN F18 1786;plain_text
node;imprimeur_lithographe;0;10163;10163;und;0;AN F18 1786;plain_text
node;imprimeur_lithographe;0;10164;10164;und;0;AN F18 1786;plain_text
node;imprimeur_lithographe;0;10165;10165;und;0;AN F18 1786;plain_text
node;imprimeur_lithographe;0;10166;10166;und;0;AN F18 1786;plain_text
node;imprimeur_lithographe;0;10167;10167;und;0;AN F18 1786;plain_text
node;imprimeur_lithographe;0;10168;10168;und;0;AN F18 1786;plain_text
node;imprimeur_lithographe;0;10169;10169;und;0;AN F18 1786;plain_text
node;imprimeur_lithographe;0;10170;10170;und;0;AN F18 1786;plain_text
node;imprimeur_lithographe;0;10171;10171;und;0;AN F18 1787;plain_text
node;imprimeur_lithographe;0;10172;10172;und;0;AN F18 1787;plain_text
node;imprimeur_lithographe;0;10173;10173;und;0;AN F18 1787;plain_text
node;imprimeur_lithographe;0;10174;10174;und;0;AN F18 1787;plain_text
node;imprimeur_lithographe;0;10175;10175;und;0;AN F18 1787 / Bibliographie de la France, tome XXXIII, 1844 p. 460AN F18 1787 / Bibliographie de la France, tome XXXIII, 1844 p. 460AN F18 1787 / Bibliographie de la France, tome XXXIII, 1844 p. 460AN F18 1787 / Bibliographie de la France, tome XXXIII, 1844 p. 460AN F18 1787 / Bibliographie de la France, tome XXXIII, 1844 p. 460;plain_text
node;imprimeur_lithographe;0;10176;10176;und;0;AN F18 1787 / Almanach du commerce, 1839AN F18 1787 / Almanach du commerce, 1839AN F18 1787 / Almanach du commerce, 1839AN F18 1787 / Almanach du commerce, 1839AN F18 1787 / Almanach du commerce, 1839;plain_text
node;imprimeur_lithographe;0;10177;10177;und;0;AN F18 1787;plain_text
node;imprimeur_lithographe;0;10178;10178;und;0;AN F18 1787;plain_text
node;imprimeur_lithographe;0;10179;10179;und;0;AN F18 1788 / AP D10 U3 31 n° 13739 / AP D11 U3 231AN F18 1788 / AP D10 U3 31 n° 13739 / AP D11 U3 231AN F18 1788 / AP D10 U3 31 n° 13739 / AP D11 U3 231AN F18 1788 / AP D10 U3 31 n° 13739 / AP D11 U3 231AN F18 1788 / AP D10 U3 31 n° 13739 / AP D11 U3 231;plain_text
