entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_date_de_fin_du_brevet_value
node;imprimeur_lithographe;0;10088;10088;und;0;1851-11-10 00:00:00
node;imprimeur_lithographe;0;10092;10092;und;0;1856-04-08 00:00:00
node;imprimeur_lithographe;0;10111;10111;und;0;1850-06-12 00:00:00
node;imprimeur_lithographe;0;10112;10112;und;0;1876-11-01 00:00:00
node;imprimeur_lithographe;0;10115;10115;und;0;1851-07-03 00:00:00
node;imprimeur_lithographe;0;10122;10122;und;0;1862-04-08 00:00:00
node;imprimeur_lithographe;0;10128;10128;und;0;1850-06-12 00:00:00
node;imprimeur_lithographe;0;10134;10134;und;0;1857-10-08 00:00:00
node;imprimeur_lithographe;0;10135;10135;und;0;1858-05-07 00:00:00
node;imprimeur_lithographe;0;10140;10140;und;0;1856-04-02 00:00:00
node;imprimeur_lithographe;0;10141;10141;und;0;1713-05-09 20:46:00
node;imprimeur_lithographe;0;10142;10142;und;0;1873-08-12 00:00:00
node;imprimeur_lithographe;0;10156;10156;und;0;1856-04-02 00:00:00
node;imprimeur_lithographe;0;10157;10157;und;0;1842-04-11 00:00:00
node;imprimeur_lithographe;0;10158;10158;und;0;1851-02-06 00:00:00
node;imprimeur_lithographe;0;10164;10164;und;0;1857-09-12 00:00:00
node;imprimeur_lithographe;0;10166;10166;und;0;1855-11-08 00:00:00
node;imprimeur_lithographe;0;10172;10172;und;0;1836-02-12 00:00:00
node;imprimeur_lithographe;0;10175;10175;und;0;1874-01-10 00:00:00
node;imprimeur_lithographe;0;10182;10182;und;0;1848-12-10 00:00:00
node;imprimeur_lithographe;0;10183;10183;und;0;1858-04-08 00:00:00
node;imprimeur_lithographe;0;10184;10184;und;0;1851-08-02 00:00:00
node;imprimeur_lithographe;0;10190;10190;und;0;1861-03-04 00:00:00
node;imprimeur_lithographe;0;10210;10210;und;0;1860-05-11 00:00:00
node;imprimeur_lithographe;0;10212;10212;und;0;1872-09-04 00:00:00
node;imprimeur_lithographe;0;10215;10215;und;0;1873-07-07 00:00:00
node;imprimeur_lithographe;0;10225;10225;und;0;1846-06-05 00:00:00
