entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_illustration2_fid;field_illustration2_alt;field_illustration2_title;field_illustration2_width;field_illustration2_height
node;imprimeur_lithographe;0;21538;21538;und;0;1900;"";Compagnie des bateaux à vapeur de Saint-Cloud []A. N.];2946;2346
node;imprimeur_lithographe;0;21538;21538;und;1;1901;"";Port de Boulogne;1393;1054
node;imprimeur_lithographe;0;21538;21538;und;2;1902;"";Album du Jardin des plantes;1390;1054
node;imprimeur_lithographe;0;21538;21538;und;3;1903;"";Oeuvres complètes de Buffon;1405;1054
node;imprimeur_lithographe;0;21538;21538;und;4;1904;"";Carte de la France coutumière;1406;1054
node;imprimeur_lithographe;0;21538;21538;und;5;1905;"";Terre de Coëtbo : plan;1305;1054
node;imprimeur_lithographe;0;21538;21538;und;6;1906;"";Projet de promenade entre le Pont-neuf...;1024;1257
node;imprimeur_lithographe;0;21538;21538;und;7;1907;"";Carte de l'Eure-et-Loir;1024;1082
node;imprimeur_lithographe;0;21538;21538;und;8;1910;"";Herculanum et Pompei;1404;1054
node;imprimeur_lithographe;0;21538;21538;und;9;1911;"";J. J. B. Martinn;1024;1360
node;imprimeur_lithographe;0;21538;21538;und;10;4145;"";En-tête de lettre, 1836.  [A. N. F/18/1826];1544;702
node;imprimeur_lithographe;0;21541;21541;und;0;1893;"";Annales de la typographie [A. N.];1586;2743
node;imprimeur_lithographe;0;21547;21547;und;0;531;""; Marguerite Dufay dans son répertoire : [affiche] / [Louis Anquetin];1293;1054
node;imprimeur_lithographe;0;21547;21547;und;1;535;""; Machines à coudre françaises... Vigneron : [affiche], 1890;1024;1407
node;imprimeur_lithographe;0;21547;21547;und;2;537;""; Ambassadeurs. Aristide Bruant dans son cabaret : [affiche : épreuve d'essai] ([Epr. d'essai : pierres de jaune, rouge, vert olive et noir]) / HTLautrec, 1892;1024;1518
node;imprimeur_lithographe;0;21547;21547;und;3;538;""; Aristide Bruant dans son cabaret [de profil] : [affiche] / HTLautrec, 1893;1024;1455
node;imprimeur_lithographe;0;21547;21547;und;4;539;""; La Revue Blanche bi-mensuelle, [...], Charpentier et Fasquelle, éditeurs 11 rue de Grenelle : [affiche], 1895;1024;1373
node;imprimeur_lithographe;0;21547;21547;und;5;540;""; Le Voyage dans la lune, féérie en quatre actes. Van Loo, Leterrier et A. Mortier, Musique de Jacques Offenbach. Paris, Choudens père& fils éditeurs, rue St Honoré 265 : [affiche], 1875;1024;1477
node;imprimeur_lithographe;0;21547;21547;und;6;541;"";Théâtre national de l'Opéra-comique. Le Char, poëme de Paul Arène & Alphonse Daudet, Musique de Emile Pessard : [affiche], 1878;1459;1054
node;imprimeur_lithographe;0;21547;21547;und;7;542;""; Demandez partout le Bambin, nouveau bébé incassable... il se tient debout, assis, à genoux et fait tous les mouvements humains... : [affiche], 1890;1024;1252
