entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_informations_personnelles_value;field_informations_personnelles_format
node;imprimeur_lithographe;0;6904;6904;und;0;Son père est garçon papetier;plain_text
node;imprimeur_lithographe;0;6905;6905;und;0;Il est marié et père de 3 enfants;plain_text
node;imprimeur_lithographe;0;6906;6906;und;0;'Il est marié et père de 4 enfants. / Il est condamné en 1846 à 15 jours d''emprisonnement pour outrage à la pudeur sur une jeune fille à Bayeux. / Son père était Menuisier.';plain_text
node;imprimeur_lithographe;0;6907;6907;und;0;Son père était employé des contributions indirectes. Il est marié.;plain_text
node;imprimeur_lithographe;0;6910;6910;und;0;'Son père était tailleur d''habit. Il est marié et père de famille. Sa femme travaille chez Dame Gosselin, éditeur géographe. ';plain_text
node;imprimeur_lithographe;0;6911;6911;und;0;Son père était greffier de la justice de paix.;plain_text
node;imprimeur_lithographe;0;6912;6912;und;0;Il est marié.;plain_text
node;imprimeur_lithographe;0;6916;6916;und;0;Son père était bottier. Il est célibataire au moment de sa demande de brevet.;plain_text
node;imprimeur_lithographe;0;6917;6917;und;0;Son père était charpentier.;plain_text
node;imprimeur_lithographe;0;6918;6918;und;0;Son père était également lithographe. Il est marié avec un enfant. ;plain_text
node;imprimeur_lithographe;0;6919;6919;und;0;Célibataire / Son père est employé des postes et receveur à la Loterie Nationale. / Il est célibataire.Célibataire / Son père est employé des postes et receveur à la Loterie Nationale. / Il est célibataire.;plain_text
node;imprimeur_lithographe;0;6921;6921;und;0;Son père était boucher. Il est célibataire.;plain_text
node;imprimeur_lithographe;0;6923;6923;und;0;Sa mère était ouvrière lingère. Il est marié avec un enfant.;plain_text
node;imprimeur_lithographe;0;6926;6926;und;0;Son père est lithographe.;plain_text
node;imprimeur_lithographe;0;6927;6927;und;0;'Son père est vérificateur d''Octroy';plain_text
node;imprimeur_lithographe;0;6928;6928;und;0;Il marié et père de 4 enfants / Il a été condamné en 1850 à 6 mois de prison pour port illicite de décoration et en 1852 à 4 mois de prison pour dettes.Il marié et père de 4 enfants / Il a été condamné en 1850 à 6 mois de prison pour port illicite de décoration et en 1852 à 4 mois de prison pour dettes.;plain_text
node;imprimeur_lithographe;0;6934;6934;und;0;Son père était marchand de vin. / Son père était marchand de vin.;plain_text
node;imprimeur_lithographe;0;6936;6936;und;0;Son père était marchand chapelier;plain_text
node;imprimeur_lithographe;0;6937;6937;und;0;Son père est commisssaire de police.;plain_text
node;imprimeur_lithographe;0;6938;6938;und;0;Son père est vannier.;plain_text
node;imprimeur_lithographe;0;6939;6939;und;0;Son père était cordonnier;plain_text
node;imprimeur_lithographe;0;6940;6940;und;0;Son père est médecin;plain_text
node;imprimeur_lithographe;0;6941;6941;und;0;Son père était préposé du payeur général;plain_text
node;imprimeur_lithographe;0;6942;6942;und;0;'C''est un enfant trouvé';plain_text
node;imprimeur_lithographe;0;7845;7845;und;0;Son père est garçon papetier;plain_text
node;imprimeur_lithographe;0;7857;7857;und;0;Son père est garçon papetier;plain_text
node;imprimeur_lithographe;0;7858;7858;und;0;Il est marié et père de 3 enfants;plain_text
node;imprimeur_lithographe;0;7859;7859;und;0;'Il est marié et père de 4 enfants. / Il est condamné en 1846 à 15 jours d''emprisonnement pour outrage à la pudeur sur une jeune fille à Bayeux. / Son père était Menuisier.';plain_text
node;imprimeur_lithographe;0;7860;7860;und;0;Son père était employé des contributions indirectes. Il est marié.;plain_text
node;imprimeur_lithographe;0;7863;7863;und;0;'Son père était tailleur d''habit. Il est marié et père de famille. Sa femme travaille chez Dame Gosselin, éditeur géographe. ';plain_text
node;imprimeur_lithographe;0;7864;7864;und;0;Son père était greffier de la justice de paix.;plain_text
node;imprimeur_lithographe;0;7865;7865;und;0;Il est marié.;plain_text
node;imprimeur_lithographe;0;7869;7869;und;0;Son père était bottier. Il est célibataire au moment de sa demande de brevet.;plain_text
node;imprimeur_lithographe;0;7870;7870;und;0;Son père était charpentier.;plain_text
node;imprimeur_lithographe;0;7871;7871;und;0;Son père était également lithographe. Il est marié avec un enfant. ;plain_text
node;imprimeur_lithographe;0;7872;7872;und;0;Célibataire / Son père est employé des postes et receveur à la Loterie Nationale. / Il est célibataire.Célibataire / Son père est employé des postes et receveur à la Loterie Nationale. / Il est célibataire.;plain_text
node;imprimeur_lithographe;0;7874;7874;und;0;Son père était boucher. Il est célibataire.;plain_text
node;imprimeur_lithographe;0;7876;7876;und;0;Sa mère était ouvrière lingère. Il est marié avec un enfant.;plain_text
node;imprimeur_lithographe;0;7879;7879;und;0;Son père est lithographe.;plain_text
node;imprimeur_lithographe;0;7880;7880;und;0;'Son père est vérificateur d''Octroy';plain_text
node;imprimeur_lithographe;0;7881;7881;und;0;Il marié et père de 4 enfants / Il a été condamné en 1850 à 6 mois de prison pour port illicite de décoration et en 1852 à 4 mois de prison pour dettes.Il marié et père de 4 enfants / Il a été condamné en 1850 à 6 mois de prison pour port illicite de décoration et en 1852 à 4 mois de prison pour dettes.;plain_text
node;imprimeur_lithographe;0;7887;7887;und;0;Son père était marchand de vin. / Son père était marchand de vin.;plain_text
