nid;vid;type;language;title;uid;status;created;changed;comment;promote;sticky;tnid;translate;uuid
2;2;page;und;Présentation;1;1;1364826729;1647250532;1;1;0;0;0;4000f4d8-ba70-49b0-a081-0cf616606753
21530;21530;imprimeur_lithographe;fr;Import1;1;0;1371915688;1371984490;1;0;0;0;0;1821b389-67da-40f1-95e3-7f63c03b37f0
21531;21531;imprimeur_lithographe;und;ABADIE;0;1;1371915692;1720687265;1;0;0;0;0;84c30731-3b0e-4d72-af19-25c41bcb0c7e
21532;21532;imprimeur_lithographe;und;ACKER;0;1;1371915692;1524931373;1;0;0;0;0;665f0705-0e88-42fb-a0f9-1a79e76e00fb
21533;21533;imprimeur_lithographe;und;ADAM;0;1;1371915692;1525004638;1;0;0;0;0;167cf428-1306-410d-bfc4-5842f1080f07
21534;21534;imprimeur_lithographe;und;ADAM;0;1;1371915692;1546107758;1;0;0;0;0;64545516-64c3-41cb-8979-546830903f6f
21535;21535;imprimeur_lithographe;und;ADAM;0;1;1371915692;1524934619;1;0;0;0;0;e1189a0c-17d8-44ed-a32b-9682f626920c
21536;21536;imprimeur_lithographe;und;ADNOT, veuve RIVAUD-LACHALARDERIE;0;1;1371915692;1524849691;1;0;0;0;0;e74eda97-57c7-42b6-8971-fb1809153871
21537;21537;imprimeur_lithographe;und;ADOUL;0;1;1371915692;1569340417;1;0;0;0;0;abc11013-eecd-4800-a0a4-c97c7311acc3
21538;21538;imprimeur_lithographe;und;ADRIEN;0;1;1371915692;1700496938;1;0;0;0;0;ffe6a837-912f-43ec-9ca0-9b83dbfdc0ab
21539;21539;imprimeur_lithographe;und;ALAMASSÉ;0;1;1371915692;1525006434;1;0;0;0;0;ea163c8b-239b-4c66-a901-96a1b580d073
21540;21540;imprimeur_lithographe;und;ALEXANDRE;0;1;1371915692;1713110534;1;0;0;0;0;77e2762f-6233-4e8a-b529-c6811100b878
21541;21541;imprimeur_lithographe;und;ALKAN;0;1;1371915692;1588008641;1;0;0;0;0;9c325636-78fa-4a3d-bdd5-1f4e036f1f89
21542;21542;imprimeur_lithographe;und;ALLARD;0;1;1371915692;1391256541;1;0;0;0;0;883867a8-05b0-4885-a51b-dbc778fab569
21543;21543;imprimeur_lithographe;und;ALLARD;0;1;1371915692;1524676021;1;0;0;0;0;2cb5da9e-624a-4fa4-af40-19c1d2a7d18f
21544;21544;imprimeur_lithographe;und;ALLEAU;0;1;1371915692;1536651342;1;0;0;0;0;003eb5a5-5803-41f8-a907-971b0d6d8e70
21545;21545;imprimeur_lithographe;und;ALLEAU;0;1;1371915692;1634834906;1;0;0;0;0;e6e34ca9-d1d4-48a5-a216-079d0123c604
21546;21546;imprimeur_lithographe;und;ALLOUEL;0;1;1371915692;1524818065;1;0;0;0;0;46037395-27f1-4cda-a572-72c5297cf6a4
21547;21547;imprimeur_lithographe;und;ANCOURT;0;1;1371915692;1674399324;1;0;0;0;0;72b91015-2212-47d7-9786-c9e802bea149
21548;21548;imprimeur_lithographe;und;ANDOUARD;0;1;1371915692;1600671187;1;0;0;0;0;c4e78a61-e4cb-42db-9906-e4f0eb7f5cec
21549;21549;imprimeur_lithographe;und;ANDRÉ;0;1;1371915692;1430412186;1;0;0;0;0;b95d0113-e13c-4d48-ba11-77552d9536bd
21550;21550;imprimeur_lithographe;und;ANDRÉ;0;1;1371915692;1575285010;1;0;0;0;0;e6832cdd-9097-453b-9283-a8ca00dd1ab7
21551;21551;imprimeur_lithographe;und;ANGÉE;0;1;1371915692;1605719200;1;0;0;0;0;e97e4168-993d-4d46-9a20-3cd819dffaaf
21552;21552;imprimeur_lithographe;und;ANGRAND;0;1;1371915692;1646738301;1;0;0;0;0;507952a7-6501-4dcc-85d7-fe0c1ddebadf
21553;21553;imprimeur_lithographe;und;ANGRAND;0;1;1371915692;1605719488;1;0;0;0;0;50cda994-e701-49f0-a7da-a6eaaff463ae
21554;21554;imprimeur_lithographe;und;ANSELIN;0;1;1371915692;1527499922;1;0;0;0;0;f9f06203-fca7-4d46-8d3b-ff5d3b392e7b
21555;21555;imprimeur_lithographe;und;ANTEAUME;0;1;1371915692;1527609270;1;0;0;0;0;89008c79-0b59-47ae-95a4-e241b5fd6549
21556;21556;imprimeur_lithographe;und;APPEL;0;1;1371915692;1684312182;1;0;0;0;0;35a54799-493e-47cc-b84c-2ddbf2658f52
21557;21557;imprimeur_lithographe;und;APPERT;0;1;1371915692;1565861046;1;0;0;0;0;92d9a96b-ba4b-49dc-a9e9-7d572e53e09b
21558;21558;imprimeur_lithographe;und;APPERT;0;1;1371915692;1618163006;1;0;0;0;0;d8a7d53e-9fad-4d09-9eb5-42686fc4f64a
21559;21559;imprimeur_lithographe;und;ARBIEU;0;1;1371915692;1527621409;1;0;0;0;0;a49162ce-f876-47ed-84fb-56042a7bcdc0
21560;21560;imprimeur_lithographe;und;ARDIT;0;1;1371915692;1599461024;1;0;0;0;0;7dcd93c2-2e05-4f95-a9e3-f2e159ad14c5
21561;21561;imprimeur_lithographe;und;ARGENTIER;0;1;1371915692;1527696975;1;0;0;0;0;04c3ad29-456e-4ada-9cf6-2cbb49d7b0c3
21562;21562;imprimeur_lithographe;und;ARNAUD;0;1;1371915692;1430412528;1;0;0;0;0;7428c837-d69f-4f61-bf48-5ac2e484defb
21564;21564;imprimeur_lithographe;und;ARNAUDEAU;0;1;1371915692;1588154025;1;0;0;0;0;24684b77-1123-4964-af11-1c916b579c75
21565;21565;imprimeur_lithographe;und;ARNOUD;0;1;1371915692;1536651635;1;0;0;0;0;ca06dd4b-dd3f-4d2b-9729-d62a1f264db3
21566;21566;imprimeur_lithographe;und;AROUY;0;1;1371915692;1527788493;1;0;0;0;0;c7e04735-a90d-4f75-9631-fac79c0a0777
21567;21567;imprimeur_lithographe;und;AROUY;0;1;1371915692;1391515253;1;0;0;0;0;b67f033b-2499-4606-9c2e-6f4bbc61fbe7
21568;21568;imprimeur_lithographe;und;ARTUS;0;1;1371915692;1588154254;1;0;0;0;0;792e9491-97e4-4146-b58b-5e1865cf655c
21569;21569;imprimeur_lithographe;und;ARTUS;0;1;1371915692;1430412565;1;0;0;0;0;e3e3db98-ea90-49a3-8594-2bc78853ba9f
21570;21570;imprimeur_lithographe;und;AUBERT;0;1;1371915692;1697473560;1;0;0;0;0;51967ef6-cb3d-43a6-b780-ff37b098e0e2
21571;21571;imprimeur_lithographe;und;PHILIPON, veuve AUBERT;0;1;1371915692;1618662739;1;0;0;0;0;be89f158-bed1-4d61-84d7-45712a94148e
21572;21572;imprimeur_lithographe;und;AUBÉRY;0;1;1371915692;1588432728;1;0;0;0;0;123b963f-29d7-42bf-8771-ae28c93b74bd
21573;21573;imprimeur_lithographe;und;AUBRIET;0;1;1371915692;1430412446;1;0;0;0;0;b1c1f32c-fbd1-4aba-b1cb-eccf249d3236
21574;21574;imprimeur_lithographe;und;AUBRY;0;1;1371915692;1593718015;1;0;0;0;0;af3ca44b-4cab-4b08-907a-b4377b3156bb
21575;21575;imprimeur_lithographe;und;AUBURTIN;0;1;1371915692;1527758579;1;0;0;0;0;41304a3b-73ec-428c-8ac9-7c137740ba75
21576;21576;imprimeur_lithographe;und;AUDET;0;1;1371915692;1392130606;1;0;0;0;0;b46f7923-9fcc-43ad-adbb-ee575152d3b8
21577;21577;imprimeur_lithographe;und;AUDIFFRET marquis d';0;1;1371915692;1451730020;1;0;0;0;0;e52e8b61-a6fd-4420-a1f8-d9fa937e8e3c
21578;21578;imprimeur_lithographe;und;AUERBACH;0;1;1371915692;1588154356;1;0;0;0;0;2d1c2ca1-b1f8-4275-b09d-1c15db920f01
21579;21579;imprimeur_lithographe;und;AUGAY-FLORINY;0;1;1371915692;1647618924;1;0;0;0;0;47ddbede-5ceb-4a45-ab15-41a4e3ec1802
21580;21580;imprimeur_lithographe;und;AUGENDRE;0;1;1371915692;1527868908;1;0;0;0;0;433148a9-4552-4bd0-93e5-88425bc39971
21581;21581;imprimeur_lithographe;und;AUGUET;0;1;1371915698;1676629643;1;0;0;0;0;ae0153a5-457a-4c14-bab0-c96f5912d845
21582;21582;imprimeur_lithographe;und;AUMONT;0;1;1371915698;1529480145;1;0;0;0;0;f90db2e3-efdc-46b4-a256-3c23eca87f18
21583;21583;imprimeur_lithographe;und;AUMONT;0;1;1371915698;1603376483;1;0;0;0;0;064c61d1-54ad-424e-9035-5313bbc73d02
21584;21584;imprimeur_lithographe;und;AURAY;0;1;1371915698;1529421759;1;0;0;0;0;ec8c3d83-07d1-49ab-8531-4013de17beb1
21585;21585;imprimeur_lithographe;und;AVRIL;0;1;1371915698;1529042696;1;0;0;0;0;cb25b231-4796-4a36-8906-18b2b803e3f1
21586;21586;imprimeur_lithographe;und;BADOUREAU;0;1;1371915698;1713017273;1;0;0;0;0;aa46e9ee-6514-4520-a172-362d2458382c
21587;21587;imprimeur_lithographe;und;BADOUREAU;0;1;1371915698;1564992861;1;0;0;0;0;ce60adce-5d3e-4147-b3c0-f6f8655eda1f
21588;21588;imprimeur_lithographe;und;BAIL;0;1;1371915698;1559817036;1;0;0;0;0;da5f9d89-b1e3-46ff-a7bc-e9aa31d7f6a8
21589;21589;imprimeur_lithographe;und;BAL;0;1;1371915698;1530553712;1;0;0;0;0;4ccdb636-9489-4ffe-8cd1-9908173949d6
21590;21590;imprimeur_lithographe;und;BALLAND;0;1;1371915698;1530555976;1;0;0;0;0;d106a26c-3997-46b3-8679-ff00b08f9102
21591;21591;imprimeur_lithographe;und;BAOUSET;0;1;1371915698;1557937107;1;0;0;0;0;12060360-36d2-4bdc-8058-561664bc0405
21592;21592;imprimeur_lithographe;und;BAPTISTE;0;1;1371915698;1602950341;1;0;0;0;0;e8597d31-0c56-4665-ab25-8569354a9597
21593;21593;imprimeur_lithographe;und;BARBAN;0;1;1371915698;1682269832;1;0;0;0;0;b2b862a9-5bf1-4de5-894b-390ceb7c1802
21594;21594;imprimeur_lithographe;und;BARBARANT;0;1;1371915698;1530607843;1;0;0;0;0;ea026642-5f52-4a63-81ca-1d1885875398
21595;21595;imprimeur_lithographe;und;BARBIER;0;1;1371915698;1546103658;1;0;0;0;0;15ac2db5-9783-477d-a6ee-41012756a274
21596;21596;imprimeur_lithographe;und;BARBOT, veuve BELLEMAIN;0;1;1371915698;1532352834;1;0;0;0;0;4307d2fb-dc6b-4af0-a50c-7df58dd16158
21597;21597;imprimeur_lithographe;und;BARBOU;0;1;1371915698;1603566828;1;0;0;0;0;9c66e3bb-a008-4144-be86-8cfdf2c75420
21598;21598;imprimeur_lithographe;und;BARDON;0;1;1371915698;1678124522;1;0;0;0;0;c9a669b3-00bc-4dde-bd92-e8a21baaa3c9
21599;21599;imprimeur_lithographe;und;BARDON;0;1;1371915698;1546103291;1;0;0;0;0;9dedc3b9-787c-4713-9c71-7e5ef35bd52e
21600;21600;imprimeur_lithographe;und;BARDOUX;0;1;1371915698;1530612752;1;0;0;0;0;e3591b34-aff7-4e03-9285-90df5f7aa81e
21601;21601;imprimeur_lithographe;und;BAROUSSE;0;1;1371915698;1558449633;1;0;0;0;0;c2bddc41-1828-4bb2-816b-b25ed9691bbe
21602;21602;imprimeur_lithographe;und;BAROUSSE;0;1;1371915698;1617722353;1;0;0;0;0;c4b465e5-73ef-419c-a645-f668666f025c
21603;21603;imprimeur_lithographe;und;BARRE;0;1;1371915698;1564937690;1;0;0;0;0;a740d3d6-1c63-4556-933c-8eaa470b0e37
21604;21604;imprimeur_lithographe;und;BARROIS;0;1;1371915698;1539274930;1;0;0;0;0;5f186eba-9c11-4480-8d2d-983fa0e5b74d
21605;21605;imprimeur_lithographe;und;BARTHE;0;1;1371915698;1588154590;1;0;0;0;0;bff6ece1-1126-4415-bb18-c7daf1051daf
21606;21606;imprimeur_lithographe;und;BACLE;0;1;1371915698;1589380371;1;0;0;0;0;24813d2b-278f-4f31-8211-bf64b93b1a3f
21607;21607;imprimeur_lithographe;und;BASTARD;0;1;1371915698;1478445773;1;0;0;0;0;14cd7fe0-3e9a-462c-9323-46cabf69a2ce
21608;21608;imprimeur_lithographe;und;BASTER;0;1;1371915698;1675509632;1;0;0;0;0;a73525e0-acc6-482b-b16e-ed3a42cc269a
