entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_illustration_fid;field_illustration_alt;field_illustration_title;field_illustration_width;field_illustration_height
node;imprimeur_lithographe;0;21538;21538;und;0;3331;"";En-tête de lettre, 1837. [A.N., F/18/1786];1448;967
node;imprimeur_lithographe;0;21547;21547;und;0;534;"";"";1024;1373
node;imprimeur_lithographe;0;21556;21556;und;0;545;"";Source  gallica.bnf.fr / Bibliothèque nationale de France;1024;1345
node;imprimeur_lithographe;0;21558;21558;und;0;3076;"";A. N. F/18/1727;1688;2113
node;imprimeur_lithographe;0;21570;21570;und;0;1857;"";Source  gallica.bnf.fr / Bibliothèque nationale de France;2272;1906
node;imprimeur_lithographe;0;21574;21574;und;0;2497;"";Coll. particulière;2028;1253
node;imprimeur_lithographe;0;21587;21587;und;0;3075;"";A. N. F/18/1729;1208;1940
node;imprimeur_lithographe;0;21610;21610;und;0;2143;"";A. N. F/18/1731;1308;1583
node;imprimeur_lithographe;0;21626;21626;und;0;2179;"";A. N. F/18/1732;1229;2169
node;imprimeur_lithographe;0;21859;21859;und;0;2211;"";A. N. F/18/1733;3047;1870
node;imprimeur_lithographe;0;21871;21871;und;0;2238;"";A. N. F/18/1733;1501;1777
node;imprimeur_lithographe;0;21879;21879;und;0;2207;"";A. N. F/18/1732;2826;1832
node;imprimeur_lithographe;0;21893;21893;und;0;2239;"";A. N., F/18/1735;825;1169
node;imprimeur_lithographe;0;21916;21916;und;0;2461;"";Archives nationales, F/18/1738;2388;1535
node;imprimeur_lithographe;0;21941;21941;und;0;2462;"";Source  gallica.bnf.fr / Bibliothèque nationale de France;549;695
node;imprimeur_lithographe;0;21948;21948;und;0;2510;"";A. N., F/18/1740;2427;2453
node;imprimeur_lithographe;0;21953;21953;und;0;2678;"";A. N., F/18/1740;2178;1092
node;imprimeur_lithographe;0;21954;21954;und;0;2520;"";A. N., F/18/1740;2131;3250
node;imprimeur_lithographe;0;22002;22002;und;0;2597;"";A. N., F/18/1799;1947;2854
node;imprimeur_lithographe;0;22005;22005;und;0;2607;"";A. N., F/18/1742;1594;2732
node;imprimeur_lithographe;0;22010;22010;und;0;2608;"";A. N., F/18/1742;2425;2290
node;imprimeur_lithographe;0;22032;22032;und;0;2663;"";A. N., F/18/1744;732;823
node;imprimeur_lithographe;0;22033;22033;und;0;2666;"";Source  gallica.bnf.fr / Bibliothèque nationale de France;287;422
node;imprimeur_lithographe;0;22037;22037;und;0;2719;"";A. N., F/18/1745;1587;767
node;imprimeur_lithographe;0;22041;22041;und;0;2596;"";A. N., F/18/1742;3049;1521
node;imprimeur_lithographe;0;22063;22063;und;0;698;"";http://catalogue.bnf.fr/ark:/12148/cb44256323b;278;429
node;imprimeur_lithographe;0;22064;22064;und;0;2897;"";A. N., F/18/1746;1321;2042
node;imprimeur_lithographe;0;22065;22065;und;0;3094;"";Carte publicitaire. MUCEM;597;436
node;imprimeur_lithographe;0;22082;22082;und;0;2947;"";[A. N., F/18/1747];2055;1973
node;imprimeur_lithographe;0;22086;22086;und;0;2928;"";A.N., F/18/1747;1281;1363
node;imprimeur_lithographe;0;22099;22099;und;0;2895;"";A. N. F/18/1748;1413;2145
node;imprimeur_lithographe;0;22100;22100;und;0;2925;"";Vente après faillite [A. N. F/18/1749];2089;3182
node;imprimeur_lithographe;0;22124;22124;und;0;2830;"";A. N., F/18/1750;2034;1340
node;imprimeur_lithographe;0;22141;22141;und;0;2695;"";A. N., F/18/1751;2364;1666
node;imprimeur_lithographe;0;22143;22143;und;0;2698;"";A. N., F/18/1751;2839;1897
node;imprimeur_lithographe;0;22169;22169;und;0;1856;"";Source  gallica.bnf.fr / Bibliothèque nationale de France;1952;2322
node;imprimeur_lithographe;0;22173;22173;und;0;2424;"";A. N. F/18/1753;1283;1884
node;imprimeur_lithographe;0;22200;22200;und;0;399;"";"";1203;1054
node;imprimeur_lithographe;0;22207;22207;und;0;2148;"";Prospectus du Manuel pratique du lithographe [A. N.];2344;3098
node;imprimeur_lithographe;0;22208;22208;und;0;2051;"";En-tête de facture [A. N.];3254;2017
node;imprimeur_lithographe;0;22224;22224;und;0;2778;"";Specimen de cachet [A. N. F/18/1756];1326;1061
node;imprimeur_lithographe;0;22234;22234;und;0;2772;"";A. N. F/18/1756;1760;2145
node;imprimeur_lithographe;0;22245;22245;und;0;3260;"";En-tête de lettre. [A.N.];2139;1372
node;imprimeur_lithographe;0;22252;22252;und;0;2142;"";A. N., F/18/1755;2866;1257
node;imprimeur_lithographe;0;22263;22263;und;0;4336;"";49, rue du Montparnasse;2007;2822
node;imprimeur_lithographe;0;22269;22269;und;0;3002;"";Papier à en-tête [A. N. F/18/1759];1681;2541
node;imprimeur_lithographe;0;22271;22271;und;0;3004;"";Papier à en-tête [A. N. F/18/1759];1543;1412
node;imprimeur_lithographe;0;22273;22273;und;0;765;"";Source  gallica.bnf.fr / Bibliothèque nationale de France;1177;917
node;imprimeur_lithographe;0;22294;22294;und;0;2903;"";Exemple de papier doré et gauffré.  A. N. F/18/1762;1623;1152
node;imprimeur_lithographe;0;22306;22306;und;0;2997;"";En-tête de facture,1869. [A. N. F/18/1763];3184;950
node;imprimeur_lithographe;0;22318;22318;und;0;4255;"";Gallica, BNF;402;546
node;imprimeur_lithographe;0;22331;22331;und;0;529;"";"";1024;1379
node;imprimeur_lithographe;0;22337;22337;und;0;554;"";"";1024;1349
node;imprimeur_lithographe;0;22338;22338;und;0;563;"";BNUStrasbourg;753;1102
node;imprimeur_lithographe;0;22346;22346;und;0;987;"";Carte publicitaire. Coll.particulière.;1534;1039
node;imprimeur_lithographe;0;22358;22358;und;0;3186;"";A. N. F/18/1773;2094;3164
