entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_parrains_nid
node;imprimeur_lithographe;0;21532;21532;und;0;22170
node;imprimeur_lithographe;0;21533;21533;und;0;22420
node;imprimeur_lithographe;0;21533;21533;und;1;21997
node;imprimeur_lithographe;0;21534;21534;und;0;27018
node;imprimeur_lithographe;0;21534;21534;und;1;27019
node;imprimeur_lithographe;0;21534;21534;und;2;22889
node;imprimeur_lithographe;0;21534;21534;und;3;21581
node;imprimeur_lithographe;0;21535;21535;und;0;23182
node;imprimeur_lithographe;0;21535;21535;und;1;22864
node;imprimeur_lithographe;0;21535;21535;und;2;21566
node;imprimeur_lithographe;0;21535;21535;und;3;21980
node;imprimeur_lithographe;0;21536;21536;und;0;21602
node;imprimeur_lithographe;0;21536;21536;und;1;22433
node;imprimeur_lithographe;0;21536;21536;und;2;22521
node;imprimeur_lithographe;0;21537;21537;und;0;23095
node;imprimeur_lithographe;0;21537;21537;und;1;22064
node;imprimeur_lithographe;0;21537;21537;und;2;22697
node;imprimeur_lithographe;0;21538;21538;und;0;22468
node;imprimeur_lithographe;0;21538;21538;und;1;22580
node;imprimeur_lithographe;0;21538;21538;und;2;22022
node;imprimeur_lithographe;0;21538;21538;und;3;21923
node;imprimeur_lithographe;0;21539;21539;und;0;23179
node;imprimeur_lithographe;0;21539;21539;und;1;22825
node;imprimeur_lithographe;0;21539;21539;und;2;22975
node;imprimeur_lithographe;0;21540;21540;und;0;22954
node;imprimeur_lithographe;0;21540;21540;und;1;22439
node;imprimeur_lithographe;0;21540;21540;und;2;21557
node;imprimeur_lithographe;0;21543;21543;und;0;24579
node;imprimeur_lithographe;0;21543;21543;und;1;24576
node;imprimeur_lithographe;0;21544;21544;und;0;22053
node;imprimeur_lithographe;0;21544;21544;und;1;21963
node;imprimeur_lithographe;0;21544;21544;und;2;22734
node;imprimeur_lithographe;0;21544;21544;und;3;22757
node;imprimeur_lithographe;0;21546;21546;und;0;22052
node;imprimeur_lithographe;0;21546;21546;und;1;22468
node;imprimeur_lithographe;0;21550;21550;und;0;22384
node;imprimeur_lithographe;0;21550;21550;und;1;22757
node;imprimeur_lithographe;0;21550;21550;und;2;22103
node;imprimeur_lithographe;0;21550;21550;und;3;22137
node;imprimeur_lithographe;0;21551;21551;und;0;21963
node;imprimeur_lithographe;0;21551;21551;und;1;22039
node;imprimeur_lithographe;0;21551;21551;und;2;21997
node;imprimeur_lithographe;0;21552;21552;und;0;22978
node;imprimeur_lithographe;0;21552;21552;und;1;21889
node;imprimeur_lithographe;0;21552;21552;und;2;22207
node;imprimeur_lithographe;0;21552;21552;und;3;22393
node;imprimeur_lithographe;0;21553;21553;und;0;22207
node;imprimeur_lithographe;0;21553;21553;und;1;21594
node;imprimeur_lithographe;0;21554;21554;und;0;22616
node;imprimeur_lithographe;0;21554;21554;und;1;21613
node;imprimeur_lithographe;0;21554;21554;und;2;22216
node;imprimeur_lithographe;0;21554;21554;und;3;25579
node;imprimeur_lithographe;0;21555;21555;und;0;21561
node;imprimeur_lithographe;0;21555;21555;und;1;22114
node;imprimeur_lithographe;0;21555;21555;und;2;22457
node;imprimeur_lithographe;0;21556;21556;und;0;21964
node;imprimeur_lithographe;0;21556;21556;und;1;22549
node;imprimeur_lithographe;0;21556;21556;und;2;22500
node;imprimeur_lithographe;0;21557;21557;und;0;21866
node;imprimeur_lithographe;0;21557;21557;und;1;22173
node;imprimeur_lithographe;0;21557;21557;und;2;22468
node;imprimeur_lithographe;0;21557;21557;und;3;22768
node;imprimeur_lithographe;0;21558;21558;und;0;26871
node;imprimeur_lithographe;0;21558;21558;und;1;23085
node;imprimeur_lithographe;0;21558;21558;und;2;25442
node;imprimeur_lithographe;0;21561;21561;und;0;22516
node;imprimeur_lithographe;0;21561;21561;und;1;25370
node;imprimeur_lithographe;0;21561;21561;und;2;22703
node;imprimeur_lithographe;0;21561;21561;und;3;23012
node;imprimeur_lithographe;0;21564;21564;und;0;22978
node;imprimeur_lithographe;0;21564;21564;und;1;23127
node;imprimeur_lithographe;0;21564;21564;und;2;22207
node;imprimeur_lithographe;0;21565;21565;und;0;22703
node;imprimeur_lithographe;0;21565;21565;und;1;22774
node;imprimeur_lithographe;0;21565;21565;und;2;22573
node;imprimeur_lithographe;0;21566;21566;und;0;21549
node;imprimeur_lithographe;0;21566;21566;und;1;22754
node;imprimeur_lithographe;0;21568;21568;und;0;23939
node;imprimeur_lithographe;0;21568;21568;und;1;22329
node;imprimeur_lithographe;0;21568;21568;und;2;27016
node;imprimeur_lithographe;0;21568;21568;und;3;22708
node;imprimeur_lithographe;0;21571;21571;und;0;24111
node;imprimeur_lithographe;0;21571;21571;und;1;22285
node;imprimeur_lithographe;0;21571;21571;und;2;22005
node;imprimeur_lithographe;0;21571;21571;und;3;22207
node;imprimeur_lithographe;0;21572;21572;und;0;22010
node;imprimeur_lithographe;0;21572;21572;und;1;22965
node;imprimeur_lithographe;0;21572;21572;und;2;23085
node;imprimeur_lithographe;0;21575;21575;und;0;21582
node;imprimeur_lithographe;0;21575;21575;und;1;22879
node;imprimeur_lithographe;0;21578;21578;und;0;23197
node;imprimeur_lithographe;0;21578;21578;und;1;22965
node;imprimeur_lithographe;0;21578;21578;und;2;21928
node;imprimeur_lithographe;0;21578;21578;und;3;22888
node;imprimeur_lithographe;0;21579;21579;und;0;22595
node;imprimeur_lithographe;0;21579;21579;und;1;23183
node;imprimeur_lithographe;0;21580;21580;und;0;22195
node;imprimeur_lithographe;0;21580;21580;und;1;23119
node;imprimeur_lithographe;0;21581;21581;und;0;22287
node;imprimeur_lithographe;0;21581;21581;und;1;22734
node;imprimeur_lithographe;0;21581;21581;und;2;22838
node;imprimeur_lithographe;0;21582;21582;und;0;22500
node;imprimeur_lithographe;0;21582;21582;und;1;27018
node;imprimeur_lithographe;0;21582;21582;und;2;23021
node;imprimeur_lithographe;0;21583;21583;und;0;27018
node;imprimeur_lithographe;0;21583;21583;und;1;23144
node;imprimeur_lithographe;0;21583;21583;und;2;22991
node;imprimeur_lithographe;0;21584;21584;und;0;23011
node;imprimeur_lithographe;0;21584;21584;und;1;21857
node;imprimeur_lithographe;0;21584;21584;und;2;22011
node;imprimeur_lithographe;0;21587;21587;und;0;23144
node;imprimeur_lithographe;0;21587;21587;und;1;22203
node;imprimeur_lithographe;0;21587;21587;und;2;22992
node;imprimeur_lithographe;0;21587;21587;und;3;22158
node;imprimeur_lithographe;0;21588;21588;und;0;22898
node;imprimeur_lithographe;0;21588;21588;und;1;22561
node;imprimeur_lithographe;0;21588;21588;und;2;22541
node;imprimeur_lithographe;0;21589;21589;und;0;22141
node;imprimeur_lithographe;0;21589;21589;und;1;22322
node;imprimeur_lithographe;0;21589;21589;und;2;22616
node;imprimeur_lithographe;0;21589;21589;und;3;22788
node;imprimeur_lithographe;0;21590;21590;und;0;21973
node;imprimeur_lithographe;0;21591;21591;und;0;22685
node;imprimeur_lithographe;0;21591;21591;und;1;23183
node;imprimeur_lithographe;0;21591;21591;und;2;22319
node;imprimeur_lithographe;0;21591;21591;und;3;22131
node;imprimeur_lithographe;0;21593;21593;und;0;24336
node;imprimeur_lithographe;0;21593;21593;und;1;23023
node;imprimeur_lithographe;0;21594;21594;und;0;23379
node;imprimeur_lithographe;0;21594;21594;und;1;23144
node;imprimeur_lithographe;0;21594;21594;und;2;22365
node;imprimeur_lithographe;0;21595;21595;und;0;22561
node;imprimeur_lithographe;0;21595;21595;und;1;22422
node;imprimeur_lithographe;0;21595;21595;und;2;23048
node;imprimeur_lithographe;0;21595;21595;und;3;22967
node;imprimeur_lithographe;0;21597;21597;und;0;21963
node;imprimeur_lithographe;0;21597;21597;und;1;23590
node;imprimeur_lithographe;0;21597;21597;und;2;26454
node;imprimeur_lithographe;0;21598;21598;und;0;22616
node;imprimeur_lithographe;0;21598;21598;und;1;22946
node;imprimeur_lithographe;0;21598;21598;und;2;26937
node;imprimeur_lithographe;0;21598;21598;und;3;22716
node;imprimeur_lithographe;0;21600;21600;und;0;23049
