fid;uid;filename;uri;filemime;filesize;status;timestamp;uuid
14;1;Lithographes1012.txt;public://feeds/Lithographes1012.txt;text/plain;1209024;1;1366553975;5ba781f8-d437-4f3b-97a7-17f4af0cbb67
15;1;Lithographes1012.txt;public://feeds/Lithographes1012_0.txt;text/plain;1209024;1;1366554050;d8b8d52b-4698-4d83-a7c8-7a5e184a6ce1
16;1;Lithographes1012_champsNormalises.csv;public://feeds/Lithographes1012_champsNormalises.csv;text/csv;1240602;1;1366554291;81e078fb-476e-49a1-8a29-423fa054eff4
32;1;test.csv;public://feeds/test.csv;text/csv;868;1;1366558518;38097c1e-4cbb-4717-b13a-9765dcc00346
38;1;Lithographes1012_champsNormalises.csv;public://feeds/Lithographes1012_champsNormalises_0.csv;text/csv;1234722;1;1366559395;2330510a-0bca-42c8-87ea-afcdde2bf783
96;1;Lithographes1012 _dates_1900.csv;public://feeds/Lithographes1012 _dates_1900.csv;text/csv;1233794;1;1368116682;31a8c478-2048-4151-bbe4-9614d512fb69
97;1;Lithographes1012 _dates_1900.csv;public://feeds/Lithographes1012 _dates_1900_0.csv;text/csv;1233794;1;1368117177;6ef6449c-6f33-4a8d-abfb-3ee1f791c6b6
152;1;1-100.txt;public://feeds/1-100.txt;text/plain;44782;1;1371915688;feb1fad4-9691-4aa7-a3ce-199b2f794845
155;1;101-200.txt;public://feeds/101-200.txt;text/plain;48569;1;1371916107;6aa55028-dd55-4261-8cdd-e1e5586e0631
156;1;101-200.txt;public://feeds/101-200_0.txt;text/plain;48906;1;1371916200;357d2ffc-2689-43ac-9688-1e227739166c
157;1;201-300.txt;public://feeds/201-300.txt;text/plain;47444;1;1371916335;dbcc75a9-9d69-4d68-92f4-1bb8881bc6e5
158;1;301-400.txt;public://feeds/301-400.txt;text/plain;44251;1;1371916494;f63f3df2-0b6c-4c9a-9b07-b1e76deadbcd
159;1;401-500.txt;public://feeds/401-500.txt;text/plain;35036;1;1371916573;d1725654-1d06-465b-a5f8-3f2f61af859b
160;1;601-700.txt;public://feeds/601-700.txt;text/plain;33346;1;1371916683;c41c21bc-e398-4db2-8e89-199a455d6c42
161;1;601-700.txt;public://feeds/601-700_0.txt;text/plain;32849;1;1371916820;b5a5a585-3e11-4b2a-ad26-240a3744082c
