ID	lastname	firstnames	birth_date	birth_city_label	birth_city_id	personnal_information	profesionnal_information	comment
1	ABADIE	Michel, Laurent	1801-02-14	Mazères	13201	<p>Il est né le 14 février 1801 à Mazères (Haute-Garonne). Son père était garçon papetier. Lui-même est fabricant de papier à Tarbes et prend un brevet en 1827 avec Jean Meynardie-Lavaysse pour un procédé permettant d'améliorer le collage du papier.<br>Il est le beau-père de Pierre Eugène Bernain avec qui il réunit son imprimerie, rue du Petit Lion, en 1854.</p>	"<p>Il est d'abord breveté imprimeur lithographe (et veut faire aussi de l'autographie) à Tarbes en 1843, où ""il livre ses presses à un journal d'une opposition radicale, <em>Les Pyrénées"" ; c</em>ondamné, le journal cesse rapidement de paraître. Abadie, ayant mis au point divers procédés d'amélioration des presses lithographiques et déposé, en 1845, le brevet d'une presse lithographique mécanique, décide de partir pour Paris où il pense trouver davantage de facilités pour l'exploiter et demande en 1846 à y transférer son brevet de lithographe.</p>"	
2	ABADIE	Joseph, Bertrand	1824-08-04	Sarrancolin (Hautes-Pyrénées)	27209	"<p>Il est né le 4 août 1824 à Sarrancolin (Hautes-Pyrénées) ; son père, Michel Laurent Abadie, était fabricant de papier. Il ajoute à cette activité, le 3 février 1843, celle d'imprimeur pour laquelle il est breveté à Tarbes. Il y imprime <em>Les Pyrénées</em>, un journal ""d'opposition radicale"" qui est rapidement condamné et cesse de paraître.  Comme il a mis au point divers procédés d'amélioration des presses lithographiques et pris un brevet d'invention en 1845 (une presse qui imprime 4 500 in-folio en 10h),  il part pour Paris et demande à y transférer son brevet en 1846.</p>"	"<p>En 1847, Joseph Bertrand Abadie fait à son tour la demande d'un brevet mais le Préfet craignant qu'il ne lui cause les mêmes soucis que son père, l'accuse de ""conduite légère"" et ""moralité douteuse"". Elle est donc rejetée. Renouvelée en 1848, accompagnée de nombreuses apostilles, elle est alors accordée. Poursuivi à la suite du coup d'État, il est inscrit par le préfet des Hautes-Pyrénées sur la liste de ceux qui, ayant peu d'influence locale, ""ne peuvent être considérés comme dangereux"" et peuvent être remis en liberté. En 1859, le brevet est annulé car Abadie a quitté la ville.</p>"	Revu E. P., 09/12/2023.
3	ABRIE	Pierre	1792-01-13	Le Vigan (Gard)	11868	<p>Il est né le 13 janvier 1792 au Vigan (Gard). C'est un protestant, employé comme secrétaire de la Préfecture jusqu'en 1820. Ses idées politiques l'obligent alors à quitter ce poste qu'il reprendra en 1830. Entre-temps, il a ouvert un cabinet de lecture qui sera fermé car assimilé à un club ; il fournit  la liste des notabilités qui y sont abonnées pour rejeter cette accusation. Il obtient enfin un brevet de libraire en 1829.</p>	<p>En 1848, il est membre du comité électoral républicain et sa demande de brevet d'imprimeur en lettres et de lithographe est justifiée par son désir  de fonder un journal républicain. En 1854, une enquête administrative établit qu'il exploite bien son brevet de libraire mais non ses brevets d'imprimeur, qui sont donc annulés. Il tente néanmoins de redemander un brevet de typographe trois ans plus tard mais l'administration lui oppose, le 19 février 1858, la présence d'un autre imprimeur établi dans la ville et suffisant à ses besoins.<br></p>	
4	ACARD	Adolphe, François	1842-11-03	Bernay (Eure)	9854	<p>Il est né le 3 novembre 1842 à Bernay (Eure) où son père était imprimeur. Il est écrivain lithographe.</p>	<p>Il reprend l'imprimerie et les brevets de son père.</p>	
5	ACARD	Louis, Adolphe	1816-04-16	Bernay (Eure)	9854	<p>Il est né le 16 avril à Bernay (Eure). Il a travaillé comme compositeur à Rouen et à Bernay.</p>	"<p>Il a d'abord obtenu un brevet d'imprimeur en lettres le 4 mai 1844. ""Le patron et l'apprenti forment le personnel de la maison"", note l'<em>Annuaire de l'imprimerie pour 1854.</em></p>"	
6	ACHAINTRE	Jean, Charles	1804-06-25	Paris	30798	<p>Il est né à Paris le 25 juin 1804. Il a été apprenti chez Liberhart, puis a travaillé chez Didot, Panckoucke et d'autres imprimeurs parisiens. Il a épousé la veuve Boussard qui avait repris l'imprimerie de son premier mari en 1830.</p>	"<p>Sa femme lui transmet ses brevets de libraire et typographe le 18 octobre 1831 et il obtient celui de lithographe le 16 novembre 1832. Il cède son brevet de lithographe à Roussel le 2 juillet 1838, et Achaintre part travailler à la Fonderie générale de caractères. Cependant, l'année suivante, Roussel les lui rétrocède  ""car il n'a pas les capacité suffisantes"".<br>En 1835 il est cité comme ""imprimeur de l'Académie Ebroïcienne"".</p>"	
7	ACHARD	Joseph, François	1780-10-03	Marseille (Bouches-du-Rhône)	4459	<p>Il est né le 3 octobre 1780 à Marseille. Son père était médecin mais aussi le premier bibliothécaire de la bibliothèque de Marseille dont il était l'un des fondateurs. Il est lui-même sous-bibliothécaire de la ville.</p>	"<p>Il a obtenu son brevet d'imprimeur en lettres le 20 novembre 1818. Il travaille pour l'académie des sciences et beaux-arts de Marseille, mais exécute aussi beaucoup de travaux de ville. Il a un cabinet de lecture  où l'on trouve  surtout des périodiques, mais aussi quelques ouvrages dans le domaine des sciences, des arts et de la politique. En 1821, il lui est signifié que ne possédant qu'un seul brevet, il ne peut faire figurer comme raison sociale Achard frères même si l'un de ses frères travaille dans l'imprimerie. En 1823, le Préfet s'inquiète  d'un défaut d'adresse sur le règlement pour la Société économique des ouvriers vaniers de la ville de Marseille, mais, ce document n'ayant pas été publié, l'affaire est classée sans suite.<br>Pour l'obtention de son brevet de lithographe en 1831, il a le parrainage du peintre Pellicot, ""élève de Gérard"". Frappé d'apoplexie, il cède l'entreprise à son frère.</p>"	
8	ACHARD	François, Marie, Théodore	1790-02-25	Marseille (Bouches-du-Rhône)	4459	<p>Il est né le 25 février 1790. Son père était médecin ; il était aussi l'un des fondateurs de la bibliothèque de Marseille et son premier bibliothécaire. Il est marié, père de quatre enfants et travaille pendant 20 ans avec son frère comme prote.</p>	<p>Son frère Joseph François Achard est le titulaire du brevet pour l'exploitation de l'imprimerie dans laquelle ils travaillent tous deux, mais c'est lui qui demande et obtient un brevet de libraire le 8 juillet 1833. Son frère ayant été frappé d'apoplexie, il demande que ses brevets de lithographe et d'imprimeur en lettres lui soient transférés. Il vend bientôt l'imprimerie à Buret.</p>	
9	ACHARD	Charles				<p>Il dirige le conservatoire de musique de Dijon.</p>	<p>Il utilise une presse autographique pour les besoins de l'institution qu'il dirige.</p>	
10	ACHER	Jean, Philippe	1815-06-23	Marigny (Manche)	32465	<p>Il est né à Marigny (Manche) le 23 juin 1815 ; son père était boulanger. Il est d'abord papetier. Il meurt en 1850.</p>		
11	ACKER	Alphonse	1814-10-11	Paris	30798	<p>Il est né le 11 octobre 1814 à Pars ; il est marié et père de 3 enfants. Il est officier de la Garde nationale.</p>	<p>Il possède un magasin de papeterie et de fournitures de bureaux depuis 1847 et fournit quelques administrations .</p>	
12	ADAM	Ange, François	1816-07-19	Carentan (Manche)	18827	<p>Il est né le 19 juillet 1816 à Carentan (Manche). Son père était menuisier. Il est d'abord horloger à Carentan.  Il a travaillé ensuite 1 an dans l'imprimerie de Rivage, puis s'est installé comme quincaillier à Paris en achetant un local pour 42 000 F.<br>Il est marié et père de 4 enfants.<br>Il a été condamné le 28 août 1846 à 15 jours d'emprisonnement pour outrage à la pudeur sur une jeune fille à Bayeux.</p>	"<p>Malgré son sa condamnation, le rapport plaide qu'elle est vieille de 16 ans, qu'alors ""son intempérance sans doute accidentelle  le mettait dans un état qui ne lui permettait pas d'apprécier la gravité de son acte"", qu'il jouit depuis lors d'une bonne réputation et que son frère procureur de la République à Lodève a été tué en 1849 en faisant face à des émeutiers. <br>Il fait faillite le 31 août 1864 : il déclare alors un actif de 35 000 Fet un passif de 70 926,20 F. Le 28 mars 1865, il est déclaré ""excusable"". Son brevet sera repris par Lebaron.</p>"	
