"id"	"patent_id"	"address_id"	"date_occupation"	"comment"
1	1	1261	1853	
2	36	1262		
3	11	1263	1861	
4	11	1264	1861	
5	28	1265		
6	1	1266	1857	
7	14	1267	1866	
8	14	3806	1866	
9	21	1124	1837	
10	12	1268		
11	24	1269	1854	
12	30	1270	1855	
13	36	1271		
14	14	1272		
15	34	18		
16	26	1273		
17	19	1274	1850	
18	13	1275		
19	19	1276	1856	
20	30	1277		
21	11	1278	1869	
22	1	1279	1851	
23	18	1032		
24	19	1280	1857	
25	29	1281		
26	10	1282		
27	1	1283		
28	25	1284	1854	
29	32	1285		
30	1	1286	1854	
31	1	168	1852	
32	36	1287		
33	37	1288		
34	40	1289		
35	42	1290	1837	
36	43	1291	1856	
37	48	1292	1854	
38	51	1293		
39	51	1712		
40	53	1294		
41	56	1295		
42	57	1296		
43	59	1297		
44	67	1298		
45	68	1299	1866	
46	68	1300		"exproprié"
47	69	1301		
48	70	1302		
49	71	1303	"1861;1870"	
50	72	1304		
51	75	694	1831	
52	78	1305	1827	
53	79	17	1854	
54	79	1306	1857	
55	82	1307		
56	83	1308	1840	
57	83	26	1851	
58	83	1309		
59	83	1310	1852	
60	86	1311	1848	
61	86	1312	1850	
62	86	1313	1860	
63	86	1314	1860	
64	87	3	1839	
65	88	3	1849	
66	88	1106	1860	
67	88	1315		
68	89	1316		
69	89	3527		
70	91	1317		
71	95	1318		
72	96	1319	1829	
73	96	1320		
74	96	1321	1832	
75	97	1322		
76	99	28	1831	
77	102	1323		
78	103	1324	1853	
79	103	1325	1854	
80	104	1326	1856	
81	104	1327	1874	
82	104	1328		
83	104	1329		
84	104	1330	1898	
85	105	1331	1873	
86	105	1332	1882	
87	105	1333	1882	
88	105	1334	1893	
89	106	1335	1846	
90	106	1336		
91	106	317	1849	
92	106	1337	1856	
93	107	27	1837	
94	109	1338		
95	110	1339	1873	
96	110	1340	1865	
97	110	1341	1854	
98	110	1342	1853	
99	111	1343		
100	112	1344	1856	
101	112	1345	1855	
102	112	1346	1849	
103	112	1347	1839	
104	112	1348	1837	
105	113	1349		
106	114	1350	1847	
107	117	1351		
108	117	1352	1836	
109	117	1353	1841	
110	117	1354	1841	
111	117	1044	1844	
112	118	1355		
113	121	1356		
114	122	1357	1849	
115	124	1358		
116	125	1359		
117	127	1360		
118	130	1361		
119	132	1362		
120	134	1363	1858	
121	134	1364	1858	
122	134	1365	1852	
123	134	1315		
124	134	748	1845	
125	134	1366	1844	
126	134	1367	1843	
127	135	1368	1825	
128	135	30		
129	135	469	1827	
130	136	1369		
131	137	1370	1873	
132	137	1371	1872	
133	137	1372	1869	
134	138	1373	1844	
135	142	1374	1860	
136	145	1375	1859	
137	146	1376		
138	147	1377	1854	
139	147	1378	1854	
140	150	1379	1849	
141	151	1380	1840	"librairie"
142	151	2230	1840	"librairie"
143	151	1381	1844	
144	151	1382	1844	"imprimerie"
145	152	1383	1845	
146	153	1384	1839	
147	153	2880	1839	
148	153	878	1853	
149	154	1384	1834	
150	154	2880	1834	
151	157	1385		
152	159	1386		
153	164	1387		
154	166	1388		
155	167	1389		
156	167	1769		
157	167	1390		
158	169	1391		
159	171	1392	1854	
160	171	1393	1841	
161	172	1394	1866	
162	173	1395		
163	174	1396	1841	
164	174	1397	"1844-07"	
165	174	1398		
166	174	1399	1863	
167	174	1400	1867	
168	175	1401	"1858-04"	
169	175	1402	"1857-04"	
170	175	1403	1855	
171	177	1404		
172	179	98		
173	181	1405		
174	183	1406	"1854-1861"	
175	184	1407		
176	185	1408		
177	186	1409		
178	192	1410		
179	193	1411		
180	194	1412		
181	196	1413		
182	197	1414		
183	200	1415		
184	203	1416		
185	203	1417		
186	205	1418		
187	206	1419	1866	
188	206	1420		
189	206	1421	1863	
190	206	1422	1858	
191	206	1423	1853	
192	206	1179	1850	
193	206	40	1847	
194	207	1424	1875	
195	208	1425	1855	
196	208	41	1855	
197	208	1426	1853	
198	210	1427		
199	214	1428		
200	215	1429		
201	215	1430		
202	217	1431	"1855-04"	
203	217	26	1854	
204	218	1432		
205	223	1433		
206	226	1434		
207	229	1435		
208	229	81		
209	229	80	1836	
210	230	1436		"Palais de justice"
211	231	1437		
212	233	1438	1842	
213	234	1439	1845	
214	236	1440		
215	238	1441		1866
216	238	1442		
217	239	1443		
218	240	1444		
219	241	1445		
220	245	1446		
221	245	1447		
222	247	1448		
223	247	1449	1852	
224	247	1450	"1866;1908"	
225	249	1451		
226	250	1452		
227	251	1453	1850	
228	251	1454	"1850-11"	
229	252	1455	"1861-1890"	
230	252	1456		
231	253	1457		
232	253	1458	1862	"exproprié en 1862"
233	253	1459	1862	
234	253	1460	1857	"commerce"
235	253	1461	1862	"dépôt des marchandises"
236	254	1462		
237	254	1463	1866	
238	257	1464		
239	258	1465	1854	
240	258	1466	"1851-10"	
241	258	1467	1849	
242	258	1468	1851	
243	258	42	1854	"pour la lithographie seule"
244	260	1469		
245	260	1889		
246	260	3157		
247	262	1470		
248	264	1471	1854	
249	264	1472	1851	
250	264	1473	1849	
251	264	1474	1849	
252	264	997	1846	
253	264	1475	1844	
254	265	1476		
255	266	1477	1871	
256	270	1478		
257	271	51		
258	272	1479	1869	
259	272	1480	"1878-1885"	
260	273	1481		
261	277	1482	1872	
262	277	1483	1861	
263	278	54		
264	279	1484		
265	282	1485		
266	283	1486		
267	284	57		
268	285	1487		
269	286	1488		
270	287	1489	1869	
271	287	1490	1869	
272	287	1491	1868	
273	288	1492		
274	289	1493	1861	
275	290	1494		
276	290	1495	1845	"cabinet d’affaires"
277	291	1496	1842	
278	291	1497	1845	
279	291	1311	1847	
280	291	509	1849	
281	291	1498	1850	
282	293	63	1849	
283	294	1499		
284	295	1500	1845	
285	296	1501		
286	305	1502	1869	
287	307	513		
288	309	1503		
289	310	1504		
290	313	1505		
291	318	1506	1854	
292	319	1507		
293	320	1508		
294	325	1509	1870	
295	325	1510	1868	
296	327	1511		
297	329	831	1848	
298	329	1512	1855	
299	329	1513	1867	
300	330	831	1847	
301	330	1512	1853	
302	330	1514	1852	
303	330	1515	1852	
304	331	831	1835	
305	331	1516	1831	
306	331	1517	1833	
307	334	1518	1858	
308	334	72	1854	
309	334	42		
310	335	1519		
311	335	1520	1847	
312	337	1521		
313	337	1522		
314	337	1523		
315	338	1524	1849	
316	338	1525		
