"id"	"person_id"	"address_id"	"date_occupation"	"comment"
1	100	1	1861	
2	102	2	1857	
3	85	3	1849	
4	83	4	1858	
5	13	5		
6	108	6	1836	
7	69	7		
8	128	8		
9	106	9	1853	
10	95	10	1838	
11	67	11		
12	84	3	1846	
13	30	12	1837	
14	102	13	1868	
15	11	14	1861	
16	80	15	1839	
17	84	16	1838	
18	76	17	1854	
19	32	18	1841	
20	19	19	1854	
21	14	20	1864	
22	123	21		"chez ses parents"
23	12	22		
24	19	23	1850	
25	112	24		
26	103	25	1842	
27	80	26	1851	
28	103	27	1835	
29	95	28	1831	
30	32	29	1838	
31	131	30	1825	
32	133	31		
33	133	32		
34	136	33		
35	139	34		
36	168	35	1855	
37	168	36	1855	
38	182	37		
39	189	38	1839	
40	193	39	1868	
41	199	40	1847	
42	201	41		
43	209	42		
44	222	43		
45	229	44		
46	234	45		
47	236	46		
48	242	47	1849	
49	247	48		
50	247	49	1847	
51	254	50	1844	
52	261	51		
53	262	52		
54	267	53		
55	268	54		
56	271	55		
57	274	56		
58	274	57		
59	277	58		
60	279	59	1831	
61	280	60	1842	
62	281	61	1840	
63	281	62	1886	
64	283	63		
65	286	64		
66	294	65		
67	297	66	1866	
68	314	67		
69	314	68	1868	
70	316	69	1838	
71	320	70		
72	323	71	1854	
73	323	72	1854	
74	331	73	1833	
75	331	74	1837	
76	331	75	1839	
77	331	76		
78	332	77		
79	341	78		
80	343	79	1862	
81	345	80		
82	345	81	1818	
83	347	82	1835	"chez son père"
84	347	83	1846	
85	349	84		
86	350	85	1833	
87	350	86	1847	
88	351	87	1861	
89	351	88	1865	
90	356	89		
91	360	90		
92	361	91		
93	373	92	1850	
94	375	93	1838	
95	381	94		
96	384	95		
97	388	96	1873	
98	388	97	1870	
99	398	98		
100	400	99	1832	
101	409	100		
102	412	101		
103	412	102	1856	
104	413	103	1846	
105	417	104	1836	
106	421	105		
107	425	106	1838	
108	427	107	1858	
109	429	108		
110	430	109		
111	430	110	1833	
112	440	111	1828	
113	440	112	1829	
114	445	113	1839	
115	445	114	1839	
116	446	115		
117	447	116	1847	
118	451	117	1851	
119	451	118	1855	
120	454	119		
121	455	120		
122	461	121	1858	
123	473	122	1858	
124	474	123		
125	476	124		
126	481	125		
