ID	label	reference_url	filename	iiif_url	image_type	filesys_path
1	Compagnie des bateaux à vapeur de Saint-Cloud []A. N.]		adrien.JPG		carrousel	public://adrien.JPG
2	Port de Boulogne		Ponts_et_chaussées_département_du_[...]Schenck_F_btv1b8443912d.jpeg		carrousel	public://Ponts_et_chaussées_département_du_[...]Schenck_F_btv1b8443912d.jpeg
3	Album du Jardin des plantes		Paris_J_Angé_éditeur_Album_[...]_btv1b9003084x.jpeg		carrousel	public://Paris_J_Angé_éditeur_Album_[...]_btv1b9003084x.jpeg
4	Oeuvres complètes de Buffon		Nouvelle_souscription_à_25_centimes_[...]_btv1b9003085b.jpeg		carrousel	public://Nouvelle_souscription_à_25_centimes_[...]_btv1b9003085b.jpeg
5	Carte de la France coutumière		Carte_de_la_France_coutumière_[...]Klimrath_Henri_btv1b53035277n.jpeg		carrousel	public://Carte_de_la_France_coutumière_[...]Klimrath_Henri_btv1b53035277n.jpeg
6	Terre de Coëtbo : plan		Terre_de_Coëtbo___plan_[...]Adrien_C_btv1b530353057.jpeg		carrousel	public://Terre_de_Coëtbo___plan_[...]Adrien_C_btv1b530353057.jpeg
7	Projet de promenade entre le Pont-neuf...		[Plan_vue_et_coupes_d'un_[...]Roux_Nicolas-Hubert_btv1b53035175c.jpeg		carrousel	public://[Plan_vue_et_coupes_d'un_[...]Roux_Nicolas-Hubert_btv1b53035175c.jpeg
8	Carte de l'Eure-et-Loir		Carte_du_département_d'Eure-et-Loir___[...]_btv1b8495480h.jpeg		carrousel	public://Carte_du_département_d'Eure-et-Loir___[...]_btv1b8495480h.jpeg
9	Herculanum et Pompei		Herculanum_et_Pompeï_Recueil_général_[...]_btv1b9005057n.jpeg		carrousel	public://Herculanum_et_Pompeï_Recueil_général_[...]_btv1b9005057n.jpeg
10	J. J. B. Martinn		Jacob_Joseph_Balthasar_Martinn___[...]Adrien_C_btv1b8422329r.jpeg		carrousel	public://Jacob_Joseph_Balthasar_Martinn___[...]Adrien_C_btv1b8422329r.jpeg
11	En-tête de lettre, 1836.  [A. N. F/18/1826]		IMG_1164.JPG		carrousel	public://IMG_1164.JPG
12	Annales de la typographie [A. N.]		alkan.JPG		carrousel	public://alkan.JPG
13	Marguerite Dufay dans son répertoire : [affiche] / [Louis Anquetin]		ancourt1.jpg		carrousel	public://ancourt1.jpg
14	Machines à coudre françaises... Vigneron : [affiche], 1890		ancourt5.jpg		carrousel	public://ancourt5.jpg
15	La Revue Blanche bi-mensuelle, [...], Charpentier et Fasquelle, éditeurs 11 rue de Grenelle : [affiche], 1895		ancourt4.jpg		carrousel	public://ancourt4_0.jpg
16	Le Voyage dans la lune, féérie en quatre actes. Van Loo, Leterrier et A. Mortier, Musique de Jacques Offenbach. Paris, Choudens père& fils éditeurs, rue St Honoré 265 : [affiche], 1875		ancourt6.jpg		carrousel	public://ancourt6.jpg
17	Théâtre national de l'Opéra-comique. Le Char, poëme de Paul Arène & Alphonse Daudet, Musique de Emile Pessard : [affiche], 1878		ancourt7.jpg		carrousel	public://ancourt7.jpg
18	Demandez partout le Bambin, nouveau bébé incassable... il se tient debout, assis, à genoux et fait tous les mouvements humains... : [affiche], 1890		ancourt8.jpg		carrousel	public://ancourt8.jpg
19	Aben Hamet, opéra de MM Léonce Détroyat & A. Lauziéres. Musique de Théodore Dubois : [affiche], 1890		ancourt9.jpg		carrousel	public://ancourt9.jpg
20	Papier fantaisie, 1839. A. N.		angrand.JPG		carrousel	public://angrand.JPG
21	Papier fantaisie, 1839. A.N.		angrand2.JPG		carrousel	public://angrand2.JPG
22	Colonne de Juillet		Colonne_[_]_de_Juillet_[...]_btv1b53006149b.jpeg		carrousel	public://Colonne_[_]_de_Juillet_[...]_btv1b53006149b.jpeg
23	Théâtre Maffey : passage du Saint-Bernard		Théâtre_Maffey_Passage_du_St_[...]Antheaume_(lithographe)_btv1b531171498.jpeg		carrousel	public://Théâtre_Maffey_Passage_du_St_[...]Antheaume_(lithographe)_btv1b531171498.jpeg
24	Perroquets savants dressés et présentés par le nain François Millet ex-écuyer du grand hippodrome, affiche, 1890		appel2.jpg		carrousel	public://appel2.jpg
25	Carte pratique de Vichy et de ses environs, 1880		appel4.jpg		carrousel	public://appel4.jpg
26	Manufacture de bicycles et tricycles perfectionnés, Clément & Cie		appel6.jpg		carrousel	public://appel6.jpg
27	Liqueur des Boyards, entrepôt G.! à Rethonvillers (Somme)... dépôt V. Lhomme & Cie, 17 Place de la Madeleine, Paris [modèle 2] : [affiche]		appel9.jpg		carrousel	public://appel9.jpg
28	Compagnie Générale Transatlantique, 6, rue Auber Paris : [affiche]		appel7.jpg		carrousel	public://appel7.jpg
29	Hippodrome de Paris. Tous les jours 2 représentations. La 1re à 3h., la 2me à 8h.1/2. Courses en chars... : [affiche], 1878		appel8.jpg		carrousel	public://appel8.jpg
30	Lohengrin grand opéra de R. Wagner... : [affiche], 1890		appel10.jpg		carrousel	public://appel10.jpg
31	Ateliers nationaux		Ateliers_nationaux___[signé___[...]Thomas_Émile_bpt6k5611645p.jpeg		carrousel	public://Ateliers_nationaux___[signé___[...]Thomas_Émile_bpt6k5611645p.jpeg
32	Ateliers nationaux. ordre du jour.		Ateliers_nationaux_Ordre_du_jour_[...]Thomas_Émile_bpt6k5611665f.jpeg		carrousel	public://Ateliers_nationaux_Ordre_du_jour_[...]Thomas_Émile_bpt6k5611665f.jpeg
33	Le 30 juillet au Louvre		export(5).jpg		carrousel	public://export(5)_3.jpg
34	Un désespoir		export(6).jpg		carrousel	public://export(6)_2.jpg
35	Les Grisettes		export(7).jpg		carrousel	public://export(7)_1.jpg
36	Vue d'Alger...		Vue_d'Alger_immédiatement_(sic)_avant_[...]_btv1b8445975j.jpeg		carrousel	public://Vue_d'Alger_immédiatement_(sic)_avant_[...]_btv1b8445975j.jpeg
37	Blondin dans le rôle de Bishoff		export(8).jpg		carrousel	public://export(8).jpg
38	Clément dans le rôle de Vertigo		export(10).jpg		carrousel	public://export(10)_1.jpg
39	Il veut m'épouser..		export(12).jpg		carrousel	public://export(12).jpg
40	Cabaleurs		export(13).jpg		carrousel	public://export(13)_1.jpg
41	De la République		De_la_République___[estampe]_[...]Monnier_Henry_btv1b105344125.jpeg		carrousel	public://De_la_République___[estampe]_[...]Monnier_Henry_btv1b105344125.jpeg
42	La fiancée de Lamermoor		export(15).jpg		carrousel	public://export(15)_1.jpg
43	Galerie théâtrale		export(16).jpg		carrousel	public://export(16)_0.jpg
44	Un paradis		export(17).jpg		carrousel	public://export(17)_0.jpg
45	Plan d'Anvers		export(18).jpg		carrousel	public://export(18).jpg
46	Hommage aux vainqueurs		litho1.jpg		carrousel	public://litho1.jpg
47	Le Médecin malgré lui		export(23).jpg		carrousel	public://export(23).jpg
48	La Timbale d'argent		litho2.jpg		carrousel	public://litho2.jpg
49	La Locomotive, galop brillant		La_locomotive___galop_brillant_[...]Aguilar_A_btv1b9069424j.jpeg		carrousel	public://La_locomotive___galop_brillant_[...]Aguilar_A_btv1b9069424j.jpeg
50	Camille Saint-Saëns. Sérénade.		Sérénade___arrangée_pour_Madame_[...]Saint-Saëns_Camille_bpt6k1161983r.jpeg		carrousel	public://Sérénade___arrangée_pour_Madame_[...]Saint-Saëns_Camille_bpt6k1161983r.jpeg
51	Les joyeuses commères de Windsor		Les_joyeuses_commères_de_Windsor_[...]Cramer_Henri_bpt6k3976390.jpeg		carrousel	public://Les_joyeuses_commères_de_Windsor_[...]Cramer_Henri_bpt6k3976390.jpeg
52	La Capricieuse, valse		La_capricieuse___valse_de_[...]Barlatier_Albert_btv1b9072070h.jpeg		carrousel	public://La_capricieuse___valse_de_[...]Barlatier_Albert_btv1b9072070h.jpeg
53	Le roi Carotte		Le_roi_Carotte___bouquet_[...]Cramer_Henri_bpt6k397720j.jpeg		carrousel	public://Le_roi_Carotte___bouquet_[...]Cramer_Henri_bpt6k397720j.jpeg
54	Ah ! quell' scie !		export(20).jpg		carrousel	public://export(20).jpg
55	La Bataillon des dames		export(21).jpg		carrousel	public://export(21).jpg
56	À la foire au pain d'épice		export(22).jpg		carrousel	public://export(22).jpg
57	Friquette, polka-mazurka		Friquette___polka-mazurka_des_Prés_[...]Boullard_Marius_btv1b90796411.jpeg		carrousel	public://Friquette___polka-mazurka_des_Prés_[...]Boullard_Marius_btv1b90796411.jpeg
58	Vincenzo Bellini		Vincenzo_Bellini___Antoinette_Asselineau_Asselineau_Antoinette_btv1b84156889_1.jpg		carrousel	public://Vincenzo_Bellini___Antoinette_Asselineau_Asselineau_Antoinette_btv1b84156889_1.jpg
59	La Revue des peintres. Frontispice.		Revue_des_peintres___[estampe]_[...]Nanteuil_Célestin_btv1b84512577.jpeg		carrousel	public://Revue_des_peintres___[estampe]_[...]Nanteuil_Célestin_btv1b84512577.jpeg
60	Le voleur de la montagne		Le_voleur_de_la_montagne_[...]Nanteuil_Célestin_btv1b8451260q.jpeg		carrousel	public://Le_voleur_de_la_montagne_[...]Nanteuil_Célestin_btv1b8451260q.jpeg
61	27 juillet : première victime		export(10).jpg		carrousel	public://export(10)_0.jpg
62	Charles Plantade		Charles_Plantade___M_Alophe_Menut_Adolphe_btv1b84236189.jpeg		carrousel	public://Charles_Plantade___M_Alophe_Menut_Adolphe_btv1b84236189.jpeg
63	Adolphe Nourrit		Adolphe_Nourrit___LLanta_Llanta_Jacques-François_btv1b8423204w.jpeg		carrousel	public://Adolphe_Nourrit___LLanta_Llanta_Jacques-François_btv1b8423204w.jpeg
64	Carlotta Grisi		Carlotta_Grisi___Marie-Alexandre_Alophe__btv1b84206102.jpeg		carrousel	public://Carlotta_Grisi___Marie-Alexandre_Alophe__btv1b84206102.jpeg
65	La Caricature provisoire		Le_Mariage_de_Figaro_(Acte_[...]_btv1b8438419v.jpeg		carrousel	public://Le_Mariage_de_Figaro_(Acte_[...]_btv1b8438419v.jpeg
66	Les coulisses		Les_coulisses___[estampe]_([État_[...]Gavarni_(1804-1866)_btv1b105073246.jpeg		carrousel	public://Les_coulisses___[estampe]_([État_[...]Gavarni_(1804-1866)_btv1b105073246.jpeg
67	Robert Macaire libraire		export(13).jpg		carrousel	public://export(13)_0.jpg
68	Extrait du catalogue des physiologies		Physiologie_de_l'homme_à_bonnes_[...]Lemoine_Édouard_btv1b85303198.jpeg		carrousel	public://Physiologie_de_l'homme_à_bonnes_[...]Lemoine_Édouard_btv1b85303198.jpeg
69	Physiologie du flâneur		Physiologie_du_flâneur___par_[...]Huart_Louis_bpt6k124722c.jpeg		carrousel	public://Physiologie_du_flâneur___par_[...]Huart_Louis_bpt6k124722c.jpeg
70	Catalogue de la librairie Aubert, 1842		Physiologie_de_la_femme_la_[...]Lemoine_Édouard_bpt6k134425t.jpeg		carrousel	public://Physiologie_de_la_femme_la_[...]Lemoine_Édouard_bpt6k134425t.jpeg
71	Catalogue de la librairie Aubert, 1842		Physiologie_de_la_femme_la_[...]Lemoine_Édouard_bpt6k134425t(1).jpeg		carrousel	public://Physiologie_de_la_femme_la_[...]Lemoine_Édouard_bpt6k134425t(1).jpeg
72	Musée Philipon : La reine du chiffre		La_reine_de_chiffre_ou_[...]Lorentz_Alcide-Joseph_btv1b531176851.jpeg		carrousel	public://La_reine_de_chiffre_ou_[...]Lorentz_Alcide-Joseph_btv1b531176851.jpeg
73	Comic Almanack		export(7).jpg		carrousel	public://export(7)_0.jpg
74	Parodie du Juif errant		export(14).jpg		carrousel	public://export(14).jpg
75	Le Peuple a vaincu, ces Messieurs partagent		export(9).jpg		carrousel	public://export(9).jpg
76	Félix Pyat		Félix_Pyat_aux_yeux_du_[...]Benjamin_(1811-1847)_btv1b530153062.jpeg		carrousel	public://Félix_Pyat_aux_yeux_du_[...]Benjamin_(1811-1847)_btv1b530153062.jpeg
77	Panthéon charivarique, Honoré de Balzac		Honoré_de_Balzac___[lithogr_[...]Benjamin_(1811-1847)_btv1b84542419.jpeg		carrousel	public://Honoré_de_Balzac___[lithogr_[...]Benjamin_(1811-1847)_btv1b84542419.jpeg
78	Panthéon Charivarique, Victor Hugo		export(15).jpg		carrousel	public://export(15).jpg
79	Panthéon charivarique, Charles Philipon		Panthéon_charivarique___[estampe]___[...]Benjamin_Roubaud_btv1b10507320d.jpeg		carrousel	public://Panthéon_charivarique___[estampe]___[...]Benjamin_Roubaud_btv1b10507320d.jpeg
80	Ah! petit polisson...		export(17).jpg		carrousel	public://export(17).jpg
81	Abécédaire illustré		Abécédaire_illustré_par_E_Forest__bpt6k5440276w_1.jpg		carrousel	public://Abécédaire_illustré_par_E_Forest__bpt6k5440276w_1.jpg
82	Carte d'électeur de Gabriel Aubert  [A. N.]		aubert3.JPG		carrousel	public://aubert3.JPG
83	Nouvel abécédaire illustré par MM. Daumier...		Nouvel_abécédaire_illustré_par_MM_[...]_bpt6k5431476m_43.jpeg		carrousel	public://Nouvel_abécédaire_illustré_par_MM_[...]_bpt6k5431476m_43.jpeg
84	Les fleurs naturelles		export(3).jpg		carrousel	public://export(3)_0.jpg
85	Les travaux d'Hercule par G. Doré		export(4).jpg		carrousel	public://export(4)_0.jpg
86	Cham, Études sociales		export(5).jpg		carrousel	public://export(5).jpg
87	Le Charivari. Ce qu'on appelle les idées nouvelles...		export(10).jpg		carrousel	public://export(10).jpg
88	Éteint !!!		export(11).jpg		carrousel	public://export(11).jpg
89	Barricade de la rue Saint-Martin		export(7).jpg		carrousel	public://export(7).jpg
90	Attaque de la barricade de la porte Saint-Denis		export(3).jpg		carrousel	public://export(3)_1.jpg
91	Un ange déchu		export(6).jpg		carrousel	public://export(6)_0.jpg
92	Ledru banqueteur...		export(4).jpg		carrousel	public://export(4)_1.jpg
93	Le jugement de Pâris		export(5).jpg		carrousel	public://export(5)_0.jpg
94	Les représentants représentés : Schoelcher		export(3).jpg		carrousel	public://export(3)_2.jpg
95	Les représentants représentés : Hugo		export(4).jpg		carrousel	public://export(4)_2.jpg
96	Actualités. Candidature romantico-politique...		export(6).jpg		carrousel	public://export(6)_1.jpg
97	Fête funéraire...		export(5).jpg		carrousel	public://export(5)_1.jpg
98	Bibliothèque pour rire. Le flâneur		Le_flâneur___par_Louis_[...]Huart_Louis_bpt6k57306848.jpeg		carrousel	public://Le_flâneur___par_Louis_[...]Huart_Louis_bpt6k57306848.jpeg
99	Encyclopédie des dames. Prospectus.		Encyclopédie_des_dames_renfermant_les_[...]Rouget_de_bpt6k62630824.jpeg		carrousel	public://Encyclopédie_des_dames_renfermant_les_[...]Rouget_de_bpt6k62630824.jpeg
100	Les Drôleries alphabétiques		Les_Droleries_alphabétiques__bpt6k5807828x_2.jpg		carrousel	public://Les_Droleries_alphabétiques__bpt6k5807828x_2.jpg
101	Le caractère des animaux. Couverture.		Conversations_amicales_sur_le_caractère_[...]_bpt6k65098429_1.jpeg		carrousel	public://Conversations_amicales_sur_le_caractère_[...]_bpt6k65098429_1.jpeg
102	Avis à MM. les porteurs d'eau		Avis_à_MM_les_porteurs_[...]Soulenq_Auteur_bpt6k5611543h.jpeg		carrousel	public://Avis_à_MM_les_porteurs_[...]Soulenq_Auteur_bpt6k5611543h.jpeg
103	Lettre d'invitation		export(19).jpg		carrousel	public://export(19).jpg
104	Au Peuple		Au_Peuple_Qui_se_ressemble_[...]_btv1b53017338w.jpeg		carrousel	public://Au_Peuple_Qui_se_ressemble_[...]_btv1b53017338w.jpeg
105	Carte publicitaire  [Coll. particulière]		IMG_0385.jpg		carrousel	public://IMG_0385.jpg
106	Le petit Noël. Couverture.		badoureauPNG.PNG		carrousel	public://badoureauPNG.PNG
