ID	_id_dil	label	reference_url	filename	new_filename	iiif_url	filesys_path
1	img_dil_NKa39LQd	Compagnie des bateaux à vapeur de Saint-Cloud []A. N.]		adrien.JPG	img_dil_NKa39LQd.jpg		adrien.JPG
2	img_dil_BVWrUu8R	Port de Boulogne		Ponts_et_chaussées_département_du_[...]Schenck_F_btv1b8443912d.jpeg	img_dil_BVWrUu8R.jpeg		Ponts_et_chaussées_département_du_[...]Schenck_F_btv1b8443912d.jpeg
3	img_dil_GmTLq1s1	Album du Jardin des plantes		Paris_J_Angé_éditeur_Album_[...]_btv1b9003084x.jpeg	img_dil_GmTLq1s1.jpeg		Paris_J_Angé_éditeur_Album_[...]_btv1b9003084x.jpeg
4	img_dil_Qq5Ig06E	Oeuvres complètes de Buffon		Nouvelle_souscription_à_25_centimes_[...]_btv1b9003085b.jpeg	img_dil_Qq5Ig06E.jpeg		Nouvelle_souscription_à_25_centimes_[...]_btv1b9003085b.jpeg
5	img_dil_TNx1xBZL	Carte de la France coutumière		Carte_de_la_France_coutumière_[...]Klimrath_Henri_btv1b53035277n.jpeg	img_dil_TNx1xBZL.jpeg		Carte_de_la_France_coutumière_[...]Klimrath_Henri_btv1b53035277n.jpeg
6	img_dil_UlzbniuL	Terre de Coëtbo : plan		Terre_de_Coëtbo___plan_[...]Adrien_C_btv1b530353057.jpeg	img_dil_UlzbniuL.jpeg		Terre_de_Coëtbo___plan_[...]Adrien_C_btv1b530353057.jpeg
7	img_dil_Tdzn4P9H	Projet de promenade entre le Pont-neuf...		[Plan_vue_et_coupes_d'un_[...]Roux_Nicolas-Hubert_btv1b53035175c.jpeg	img_dil_Tdzn4P9H.jpeg		[Plan_vue_et_coupes_d'un_[...]Roux_Nicolas-Hubert_btv1b53035175c.jpeg
8	img_dil_cZp2YRIC	Carte de l'Eure-et-Loir		Carte_du_département_d'Eure-et-Loir___[...]_btv1b8495480h.jpeg	img_dil_cZp2YRIC.jpeg		Carte_du_département_d'Eure-et-Loir___[...]_btv1b8495480h.jpeg
9	img_dil_iPCjn8FI	Herculanum et Pompei		Herculanum_et_Pompeï_Recueil_général_[...]_btv1b9005057n.jpeg	img_dil_iPCjn8FI.jpeg		Herculanum_et_Pompeï_Recueil_général_[...]_btv1b9005057n.jpeg
10	img_dil_OJCzflcM	J. J. B. Martinn		Jacob_Joseph_Balthasar_Martinn___[...]Adrien_C_btv1b8422329r.jpeg	img_dil_OJCzflcM.jpeg		Jacob_Joseph_Balthasar_Martinn___[...]Adrien_C_btv1b8422329r.jpeg
11	img_dil_jlqRuUCq	En-tête de lettre, 1836.  [A. N. F/18/1826]		IMG_1164.JPG	img_dil_jlqRuUCq.jpg		IMG_1164.JPG
12	img_dil_TM0OTj94	Annales de la typographie [A. N.]		alkan.JPG	img_dil_TM0OTj94.jpg		alkan.JPG
13	img_dil_nhOkVl5d	Marguerite Dufay dans son répertoire : [affiche] / [Louis Anquetin]		ancourt1.jpg	img_dil_nhOkVl5d.jpg		ancourt1.jpg
14	img_dil_2ZbHJdKN	Machines à coudre françaises... Vigneron : [affiche], 1890		ancourt5.jpg	img_dil_2ZbHJdKN.jpg		ancourt5.jpg
15	img_dil_U8xm8I0y	La Revue Blanche bi-mensuelle, [...], Charpentier et Fasquelle, éditeurs 11 rue de Grenelle : [affiche], 1895		ancourt4.jpg	img_dil_U8xm8I0y.jpg		ancourt4_0.jpg
16	img_dil_HVIOMy86	Le Voyage dans la lune, féérie en quatre actes. Van Loo, Leterrier et A. Mortier, Musique de Jacques Offenbach. Paris, Choudens père& fils éditeurs, rue St Honoré 265 : [affiche], 1875		ancourt6.jpg	img_dil_HVIOMy86.jpg		ancourt6.jpg
17	img_dil_NjbEZePg	Théâtre national de l'Opéra-comique. Le Char, poëme de Paul Arène & Alphonse Daudet, Musique de Emile Pessard : [affiche], 1878		ancourt7.jpg	img_dil_NjbEZePg.jpg		ancourt7.jpg
18	img_dil_4jjbf7U9	Demandez partout le Bambin, nouveau bébé incassable... il se tient debout, assis, à genoux et fait tous les mouvements humains... : [affiche], 1890		ancourt8.jpg	img_dil_4jjbf7U9.jpg		ancourt8.jpg
19	img_dil_RYblpnDA	Aben Hamet, opéra de MM Léonce Détroyat & A. Lauziéres. Musique de Théodore Dubois : [affiche], 1890		ancourt9.jpg	img_dil_RYblpnDA.jpg		ancourt9.jpg
20	img_dil_Qp9zU5Mo	Papier fantaisie, 1839. A. N.		angrand.JPG	img_dil_Qp9zU5Mo.jpg		angrand.JPG
21	img_dil_Q43g1vMl	Papier fantaisie, 1839. A.N.		angrand2.JPG	img_dil_Q43g1vMl.jpg		angrand2.JPG
22	img_dil_lZtnXmaY	Colonne de Juillet		Colonne_[_]_de_Juillet_[...]_btv1b53006149b.jpeg	img_dil_lZtnXmaY.jpeg		Colonne_[_]_de_Juillet_[...]_btv1b53006149b.jpeg
23	img_dil_Fq9KuaYB	Théâtre Maffey : passage du Saint-Bernard		Théâtre_Maffey_Passage_du_St_[...]Antheaume_(lithographe)_btv1b531171498.jpeg	img_dil_Fq9KuaYB.jpeg		Théâtre_Maffey_Passage_du_St_[...]Antheaume_(lithographe)_btv1b531171498.jpeg
24	img_dil_5CH0q8ka	Perroquets savants dressés et présentés par le nain François Millet ex-écuyer du grand hippodrome, affiche, 1890		appel2.jpg	img_dil_5CH0q8ka.jpg		appel2.jpg
25	img_dil_NVETnodz	Carte pratique de Vichy et de ses environs, 1880		appel4.jpg	img_dil_NVETnodz.jpg		appel4.jpg
26	img_dil_kwZu1FEN	Manufacture de bicycles et tricycles perfectionnés, Clément & Cie		appel6.jpg	img_dil_kwZu1FEN.jpg		appel6.jpg
27	img_dil_Y3WvLESg	Liqueur des Boyards, entrepôt G.! à Rethonvillers (Somme)... dépôt V. Lhomme & Cie, 17 Place de la Madeleine, Paris [modèle 2] : [affiche]		appel9.jpg	img_dil_Y3WvLESg.jpg		appel9.jpg
28	img_dil_gOymIaVz	Compagnie Générale Transatlantique, 6, rue Auber Paris : [affiche]		appel7.jpg	img_dil_gOymIaVz.jpg		appel7.jpg
29	img_dil_Od4Y6zxI	Hippodrome de Paris. Tous les jours 2 représentations. La 1re à 3h., la 2me à 8h.1/2. Courses en chars... : [affiche], 1878		appel8.jpg	img_dil_Od4Y6zxI.jpg		appel8.jpg
30	img_dil_p5TcudFY	Lohengrin grand opéra de R. Wagner... : [affiche], 1890		appel10.jpg	img_dil_p5TcudFY.jpg		appel10.jpg
31	img_dil_CPeK9lfO	Ateliers nationaux		Ateliers_nationaux___[signé___[...]Thomas_Émile_bpt6k5611645p.jpeg	img_dil_CPeK9lfO.jpeg		Ateliers_nationaux___[signé___[...]Thomas_Émile_bpt6k5611645p.jpeg
32	img_dil_Cp8n0twq	Ateliers nationaux. ordre du jour.		Ateliers_nationaux_Ordre_du_jour_[...]Thomas_Émile_bpt6k5611665f.jpeg	img_dil_Cp8n0twq.jpeg		Ateliers_nationaux_Ordre_du_jour_[...]Thomas_Émile_bpt6k5611665f.jpeg
33	img_dil_HTsFIZ4f	Le 30 juillet au Louvre		export(5).jpg	img_dil_HTsFIZ4f.jpg		export(5)_3.jpg
34	img_dil_m6pcWhug	Un désespoir		export(6).jpg	img_dil_m6pcWhug.jpg		export(6)_2.jpg
35	img_dil_R2p6V2z7	Les Grisettes		export(7).jpg	img_dil_R2p6V2z7.jpg		export(7)_1.jpg
36	img_dil_svwvUKiT	Vue d'Alger...		Vue_d'Alger_immédiatement_(sic)_avant_[...]_btv1b8445975j.jpeg	img_dil_svwvUKiT.jpeg		Vue_d'Alger_immédiatement_(sic)_avant_[...]_btv1b8445975j.jpeg
37	img_dil_xRGPj6YC	Blondin dans le rôle de Bishoff		export(8).jpg	img_dil_xRGPj6YC.jpg		export(8).jpg
38	img_dil_5TcWL6nI	Clément dans le rôle de Vertigo		export(10).jpg	img_dil_5TcWL6nI.jpg		export(10)_1.jpg
39	img_dil_bo8bB896	Il veut m'épouser..		export(12).jpg	img_dil_bo8bB896.jpg		export(12).jpg
40	img_dil_4nHHKrLU	Cabaleurs		export(13).jpg	img_dil_4nHHKrLU.jpg		export(13)_1.jpg
41	img_dil_P7nbqbJ4	De la République		De_la_République___[estampe]_[...]Monnier_Henry_btv1b105344125.jpeg	img_dil_P7nbqbJ4.jpeg		De_la_République___[estampe]_[...]Monnier_Henry_btv1b105344125.jpeg
42	img_dil_UIy6563L	La fiancée de Lamermoor		export(15).jpg	img_dil_UIy6563L.jpg		export(15)_1.jpg
43	img_dil_uv9cQFwC	Galerie théâtrale		export(16).jpg	img_dil_uv9cQFwC.jpg		export(16)_0.jpg
44	img_dil_cjCAXOQ9	Un paradis		export(17).jpg	img_dil_cjCAXOQ9.jpg		export(17)_0.jpg
45	img_dil_DteRzWic	Plan d'Anvers		export(18).jpg	img_dil_DteRzWic.jpg		export(18).jpg
46	img_dil_YwcotU1H	Hommage aux vainqueurs		litho1.jpg	img_dil_YwcotU1H.jpg		litho1.jpg
47	img_dil_jC3Zevvc	Le Médecin malgré lui		export(23).jpg	img_dil_jC3Zevvc.jpg		export(23).jpg
48	img_dil_xSltNfXV	La Timbale d'argent		litho2.jpg	img_dil_xSltNfXV.jpg		litho2.jpg
