person_id	person_related_id	patent_id	type
67	3058	70	PARTNER
83	5138	86	PARTNER
87	3147	90	PARTNER
109	2347	113	PARTNER
170	3953	177	PARTNER
262	5051	272	PARTNER
347	4428	358	PARTNER
360	3182	371	PARTNER
425	1688	436	PARTNER
473	4197	486	PARTNER
506	1387	519	PARTNER
597	4263	614	PARTNER
604	3995	622	PARTNER
660	3215	679	PARTNER
663	1706	682	PARTNER
767	3711	791	PARTNER
857	4445	882	PARTNER
872	4217	897	PARTNER
994	4962	1023	PARTNER
1005	3882	1034	PARTNER
1040	5133	1071	PARTNER
1091	2563	1124	PARTNER
1206	1794	1243	PARTNER
1306	3751	1349	PARTNER
1308	5143	1352	PARTNER
1347	4585	1393	PARTNER
1436	2526	1484	PARTNER
1442	4543	1490	PARTNER
1531	1532	1583	PARTNER
1532	1531	1584	PARTNER
1546	713	1598	PARTNER
1688	425	1747	PARTNER
1694	2939	1753	PARTNER
1694	4305	1753	PARTNER
1717	2675	1776	PARTNER
1794	2342	1855	PARTNER
1840	4851	1902	PARTNER
2138	2140	2213	PARTNER
2140	2138	2215	PARTNER
2184	5132	2259	PARTNER
2192	2598	2267	PARTNER
2226	4345	2301	PARTNER
2342	1794	2420	PARTNER
2350	4536	2428	PARTNER
2453	2991	2532	PARTNER
2454	2134	2533	PARTNER
2464	3961	2543	PARTNER
2563	1091	2647	PARTNER
2571	2212	2655	PARTNER
2598	2349	2682	PARTNER
2598	2192	2682	PARTNER
2653	2964	2744	PARTNER
2691	5130	2784	PARTNER
2751	4225	2845	PARTNER
2802	3664	2898	PARTNER
2991	2453	3099	PARTNER
3045	2984	3154	PARTNER
3058	67	3167	PARTNER
3107	3112	3220	PARTNER
3182	360	3298	PARTNER
3215	660	3332	PARTNER
3435	2429	3561	PARTNER
3444	1088	3570	PARTNER
3459	1971	3585	PARTNER
3548	1603	3677	PARTNER
3599	1115	3728	PARTNER
3664	2802	3796	PARTNER
3711	767	3845	PARTNER
3828	4114	3965	PARTNER
2349	2598	2427	PARTNER
3910	3070	4053	PARTNER
3953	3712	4097	PARTNER
3960	5009	4104	PARTNER
4197	473	4349	PARTNER
4217	2459	4369	PARTNER
4217	4769	4369	PARTNER
4225	2964	4378	PARTNER
4242	4758	4395	PARTNER
4315	2701	4470	PARTNER
4374	1212	4536	PARTNER
4375	3571	4537	PARTNER
4423	4424	4585	PARTNER
4424	4423	4587	PARTNER
4425	4083	4588	PARTNER
4445	857	4609	PARTNER
4536	2350	4702	PARTNER
4585	1347	4752	PARTNER
4758	4242	4931	PARTNER
4831	598	5006	PARTNER
4851	1840	5027	PARTNER
4851	1841	5027	PARTNER
4939	4962	5118	PARTNER
4943	4423	5122	PARTNER
4987	2496	5166	PARTNER
5000	3401	5181	PARTNER
5007	85	5188	PARTNER
5138	83	5324	PARTNER
5144	2467	5330	PARTNER
4208	3230	4360	PARTNER
3694	5128	3827	PARTNER
756	3234	780	PARTNER
3234	756	3352	PARTNER
3476	3475	3604	PARTNER
3367	1367	3492	PARTNER
2471	4665	2550	PARTNER
1401	4916	1448	PARTNER
3453	4754	3579	PARTNER
2338	1919	2416	PARTNER
1919	2338	1983	PARTNER
4178	2742	4330	PARTNER
2095	1516	2166	PARTNER
608	456	626	PARTNER
5051	262	5233	PARTNER
1507	238	1559	PARTNER
4847	4182	5022	PARTNER
4182	4847	4334	PARTNER
4543	1442	4709	PARTNER
2920	3856	3023	PARTNER
4936	462	5115	PARTNER
1868	2957	1930	PARTNER
658	657	677	PARTNER
462	4936	475	PARTNER
2353	1886	2431	PARTNER
3735	502	3870	PARTNER
394	393	405	PARTNER
1776	4808	1837	PARTNER
1614	3421	1667	PARTNER
1505	2115	1557	PARTNER
4808	1776	4983	PARTNER
2851	3677	2949	PARTNER
292	4060	302	PARTNER
4504	2322	4670	PARTNER
5099	5049	5283	PARTNER
5050	5099	5232	PARTNER
3829	1906	3966	PARTNER
1906	3829	1970	PARTNER
610	5013	628	PARTNER
2091	3944	2162	PARTNER
205	3290	213	PARTNER
1247	4371	1286	PARTNER
1457	2515	1507	PARTNER
3083	3082	3195	PARTNER
4371	1247	4532	PARTNER
4371	2278	4533	PARTNER
47	46	49	PARTNER
1392	512	1439	PARTNER
743	4523	767	PARTNER
512	1392	525	PARTNER
3250	100	3370	PARTNER
4411	4139	4573	PARTNER
4385	4715	4547	PARTNER
1693	2460	1752	PARTNER
2460	1693	2539	PARTNER
2322	4504	2400	PARTNER
5062	4110	5245	PARTNER
2398	2998	2476	PARTNER
2998	2398	3107	PARTNER
49	2289	51	PARTNER
2289	49	2365	PARTNER
3550	2999	3679	PARTNER
2999	3550	3108	PARTNER
3560	3533	3689	PARTNER
