ID;label;reference_url;filename;iiif_url;image_type;filesys_path
1;Compagnie des bateaux à vapeur de Saint-Cloud []A. N.];NULL;adrien.JPG;NULL;carrousel;public://adrien.JPG
2;Port de Boulogne;NULL;Ponts_et_chaussées_département_du_[...]Schenck_F_btv1b8443912d.jpeg;NULL;carrousel;public://Ponts_et_chaussées_département_du_[...]Schenck_F_btv1b8443912d.jpeg
3;Album du Jardin des plantes;NULL;Paris_J_Angé_éditeur_Album_[...]_btv1b9003084x.jpeg;NULL;carrousel;public://Paris_J_Angé_éditeur_Album_[...]_btv1b9003084x.jpeg
4;Oeuvres complètes de Buffon;NULL;Nouvelle_souscription_à_25_centimes_[...]_btv1b9003085b.jpeg;NULL;carrousel;public://Nouvelle_souscription_à_25_centimes_[...]_btv1b9003085b.jpeg
5;Carte de la France coutumière;NULL;Carte_de_la_France_coutumière_[...]Klimrath_Henri_btv1b53035277n.jpeg;NULL;carrousel;public://Carte_de_la_France_coutumière_[...]Klimrath_Henri_btv1b53035277n.jpeg
6;Terre de Coëtbo : plan;NULL;Terre_de_Coëtbo___plan_[...]Adrien_C_btv1b530353057.jpeg;NULL;carrousel;public://Terre_de_Coëtbo___plan_[...]Adrien_C_btv1b530353057.jpeg
7;Projet de promenade entre le Pont-neuf...;NULL;[Plan_vue_et_coupes_d'un_[...]Roux_Nicolas-Hubert_btv1b53035175c.jpeg;NULL;carrousel;public://[Plan_vue_et_coupes_d'un_[...]Roux_Nicolas-Hubert_btv1b53035175c.jpeg
8;Carte de l'Eure-et-Loir;NULL;Carte_du_département_d'Eure-et-Loir___[...]_btv1b8495480h.jpeg;NULL;carrousel;public://Carte_du_département_d'Eure-et-Loir___[...]_btv1b8495480h.jpeg
9;Herculanum et Pompei;NULL;Herculanum_et_Pompeï_Recueil_général_[...]_btv1b9005057n.jpeg;NULL;carrousel;public://Herculanum_et_Pompeï_Recueil_général_[...]_btv1b9005057n.jpeg
10;J. J. B. Martinn;NULL;Jacob_Joseph_Balthasar_Martinn___[...]Adrien_C_btv1b8422329r.jpeg;NULL;carrousel;public://Jacob_Joseph_Balthasar_Martinn___[...]Adrien_C_btv1b8422329r.jpeg
11;En-tête de lettre, 1836.  [A. N. F/18/1826];NULL;IMG_1164.JPG;NULL;carrousel;public://IMG_1164.JPG
12;Annales de la typographie [A. N.];NULL;alkan.JPG;NULL;carrousel;public://alkan.JPG
13;Marguerite Dufay dans son répertoire : [affiche] / [Louis Anquetin];NULL;ancourt1.jpg;NULL;carrousel;public://ancourt1.jpg
14;Machines à coudre françaises... Vigneron : [affiche], 1890;NULL;ancourt5.jpg;NULL;carrousel;public://ancourt5.jpg
15;La Revue Blanche bi-mensuelle, [...], Charpentier et Fasquelle, éditeurs 11 rue de Grenelle : [affiche], 1895;NULL;ancourt4.jpg;NULL;carrousel;public://ancourt4_0.jpg
16;Le Voyage dans la lune, féérie en quatre actes. Van Loo, Leterrier et A. Mortier, Musique de Jacques Offenbach. Paris, Choudens père& fils éditeurs, rue St Honoré 265 : [affiche], 1875;NULL;ancourt6.jpg;NULL;carrousel;public://ancourt6.jpg
17;Théâtre national de l'Opéra-comique. Le Char, poëme de Paul Arène & Alphonse Daudet, Musique de Emile Pessard : [affiche], 1878;NULL;ancourt7.jpg;NULL;carrousel;public://ancourt7.jpg
18;Demandez partout le Bambin, nouveau bébé incassable... il se tient debout, assis, à genoux et fait tous les mouvements humains... : [affiche], 1890;NULL;ancourt8.jpg;NULL;carrousel;public://ancourt8.jpg
19;Aben Hamet, opéra de MM Léonce Détroyat & A. Lauziéres. Musique de Théodore Dubois : [affiche], 1890;NULL;ancourt9.jpg;NULL;carrousel;public://ancourt9.jpg
20;Papier fantaisie, 1839. A. N.;NULL;angrand.JPG;NULL;carrousel;public://angrand.JPG
21;Papier fantaisie, 1839. A.N.;NULL;angrand2.JPG;NULL;carrousel;public://angrand2.JPG
22;Colonne de Juillet;NULL;Colonne_[_]_de_Juillet_[...]_btv1b53006149b.jpeg;NULL;carrousel;public://Colonne_[_]_de_Juillet_[...]_btv1b53006149b.jpeg
23;Théâtre Maffey : passage du Saint-Bernard;NULL;Théâtre_Maffey_Passage_du_St_[...]Antheaume_(lithographe)_btv1b531171498.jpeg;NULL;carrousel;public://Théâtre_Maffey_Passage_du_St_[...]Antheaume_(lithographe)_btv1b531171498.jpeg
24;Perroquets savants dressés et présentés par le nain François Millet ex-écuyer du grand hippodrome, affiche, 1890;NULL;appel2.jpg;NULL;carrousel;public://appel2.jpg
25;Carte pratique de Vichy et de ses environs, 1880;NULL;appel4.jpg;NULL;carrousel;public://appel4.jpg
26;Manufacture de bicycles et tricycles perfectionnés, Clément & Cie;NULL;appel6.jpg;NULL;carrousel;public://appel6.jpg
27;Liqueur des Boyards, entrepôt G.! à Rethonvillers (Somme)... dépôt V. Lhomme & Cie, 17 Place de la Madeleine, Paris [modèle 2] : [affiche];NULL;appel9.jpg;NULL;carrousel;public://appel9.jpg
28;Compagnie Générale Transatlantique, 6, rue Auber Paris : [affiche];NULL;appel7.jpg;NULL;carrousel;public://appel7.jpg
29;Hippodrome de Paris. Tous les jours 2 représentations. La 1re à 3h., la 2me à 8h.1/2. Courses en chars... : [affiche], 1878;NULL;appel8.jpg;NULL;carrousel;public://appel8.jpg
30;Lohengrin grand opéra de R. Wagner... : [affiche], 1890;NULL;appel10.jpg;NULL;carrousel;public://appel10.jpg
31;Ateliers nationaux;NULL;Ateliers_nationaux___[signé___[...]Thomas_Émile_bpt6k5611645p.jpeg;NULL;carrousel;public://Ateliers_nationaux___[signé___[...]Thomas_Émile_bpt6k5611645p.jpeg
32;Ateliers nationaux. ordre du jour.;NULL;Ateliers_nationaux_Ordre_du_jour_[...]Thomas_Émile_bpt6k5611665f.jpeg;NULL;carrousel;public://Ateliers_nationaux_Ordre_du_jour_[...]Thomas_Émile_bpt6k5611665f.jpeg
33;Le 30 juillet au Louvre;NULL;export(5).jpg;NULL;carrousel;public://export(5)_3.jpg
34;Un désespoir;NULL;export(6).jpg;NULL;carrousel;public://export(6)_2.jpg
35;Les Grisettes;NULL;export(7).jpg;NULL;carrousel;public://export(7)_1.jpg
36;Vue d'Alger...;NULL;Vue_d'Alger_immédiatement_(sic)_avant_[...]_btv1b8445975j.jpeg;NULL;carrousel;public://Vue_d'Alger_immédiatement_(sic)_avant_[...]_btv1b8445975j.jpeg
37;Blondin dans le rôle de Bishoff;NULL;export(8).jpg;NULL;carrousel;public://export(8).jpg
38;Clément dans le rôle de Vertigo;NULL;export(10).jpg;NULL;carrousel;public://export(10)_1.jpg
39;Il veut m'épouser..;NULL;export(12).jpg;NULL;carrousel;public://export(12).jpg
40;Cabaleurs;NULL;export(13).jpg;NULL;carrousel;public://export(13)_1.jpg
41;De la République;NULL;De_la_République___[estampe]_[...]Monnier_Henry_btv1b105344125.jpeg;NULL;carrousel;public://De_la_République___[estampe]_[...]Monnier_Henry_btv1b105344125.jpeg
42;La fiancée de Lamermoor;NULL;export(15).jpg;NULL;carrousel;public://export(15)_1.jpg
43;Galerie théâtrale;NULL;export(16).jpg;NULL;carrousel;public://export(16)_0.jpg
44;Un paradis;NULL;export(17).jpg;NULL;carrousel;public://export(17)_0.jpg
